Acronym,Definition
ADE,airdrop damage estimate
ADIZ,air defense identification zone
ADM,air defense measure
ADOS,active duty for operational support
ADP,Army doctrine publication
ADR,airfield damage repair
ADRP,Army doctrine reference publication
ADS,air defense section
ADT,active duty for training
ADUSD(TP),"Assistant Deputy Under Secretary of Defense, Transportation Policy"
ADVON,advanced echelon
ADWC,air defense warning condition
ADZ,amphibious defense zone
AE,aeromedical evacuation
AECA,Arms Export Control Act
AECT,aeromedical evacuation control team
AEF,air expeditionary force
AEG,air expeditionary group
AEHF,advanced extremely high frequency
AELT,aeromedical evacuation liaison team
AEODP,allied explosive ordnance disposal publication
AEODPS,Automated Explosive Ordnance Disposal Publication System
AEOT,aeromedical evacuation operations team
AESC,aeromedical evacuation support cell
AETC,Air Education and Training Command
AETF,air expeditionary task force
AEW,airborne early warning
AF,Air Force
AF/A2,"Air Force Director of Intelligence, Surveillance, and Reconnaissance"
AFAPD,Air Force Applications Program Development
AFARN,Air Force air request net
AFATDS,Advanced Field Artillery Tactical Data System
AFB,Air Force base
AFCAP,Air Force contract augmentation program
AFCC,Air Force Component Commander
AFCEC,Air Force Civil Engineer Center
AFCEE,Air Force Center for Engineering and the Environment
AFCESA,Air Force Civil Engineering Support Agency
AFDA,Air Force doctrine annex
AFDD,Air Force doctrine document
AFE,Armed Forces Entertainment
AFFOR,Air Force forces
AFH,Air Force handbook
AFHSC,Armed Forces Health Surveillance Center
AFI,Air Force instruction
AFIAA,Air Force Intelligence Analysis Agency
AFICA,Air Force Installation Contracting Agency
AFIP,Armed Forces Institute of Pathology
AFIS,American Forces Information Service
AFISRA,"Air Force Intelligence, Surveillance, and Reconnaissance Agency"
AFJI,Air Force joint instruction
AFLE,Air Force liaison element
AFMAN,Air Force manual
AFMC,Air Force Materiel Command
AFME,Armed Forces Medical Examiner
AFMES,Armed Forces Medical Examiner System
AFMS,Air Force Medical Service
AFNORTH,Air Force North
AFO,advance force operations
AFOE,assault follow-on echelon
AFOSI,Air Force Office of Special Investigations
AFOSIMAN,Air Force Office of Special Investigations manual
AFPAM,Air Force pamphlet
AFPC,Air Force Personnel Center
AFPD,Air Force policy directive
AFR,Air Force Reserve
AFRAT,Air Force Radiation Assessment Team
AFRC,Air Force Reserve Command
AFRCC,Air Force Rescue Coordination Center
AFRL,Air Force Research Laboratory
AFRRI,Armed Forces Radiobiology Research Institute
AFRTS,American Forces Radio and Television Service
AFSB,afloat forward staging base
AFSC,Army Field Support Center
AFSCN,Air Force Satellite Control Network
AFSMO,Air Force Spectrum Management Office
AFSOAC,Air Force special operations air component
AFSOAD,Air Force special operations air detachment
AFSOAE,Air Force special operations air element
AFSOC,Air Force Special Operations Command
AFSOF,Air Force special operations forces
AFSPC,Air Force Space Command
AFSTRAT,Air Forces Strategic
AFTAC,Air Force Technical Applications Center
AFTRANS,Air Force Transportation Component
AFTTP,"Air Force tactics, techniques, and procedures"
AFTTP(I),"Air Force tactics, techniques, and procedures (instruction)"
AFW,Air Force Weather
AFWA,Air Force Weather Agency
AGL,above ground level
AGS,aviation ground support
AH,attack helicopter
AHA,alert holding area
AHD,antihandling device
AI,acquisition instruction
AIDS,acquired immunodeficiency syndrome
AIMD,aircraft intermediate maintenance department
AIMT,air interdiction of maritime targets
AIP,aeronautical information publication
AIRCOR,air corridor
AIRSUPREQ,air support request
AIS,automated information system
AIT,automated information technology
AJ,anti-jam
AJBPO,area joint blood program office
AJD,allied joint doctrine
AJODWG,allied joint operations doctrine working group
AJP,Allied joint publication
ALARA,as low as reasonably achievable
ALCF,airlift control flight
ALCM,air-launched cruise missile
ALCOM,United States Alaskan Command
ALCT,airlift control team
ALD,available-to-load date
ALEP,amphibious lift enhancement program
ALERTORD,alert order
ALLOREQ,allocation request
ALN,ammunition lot number
ALO,air liaison officer
ALOC,air line of communications
ALP,allied logistic publication
ALSA,Air Land Sea Application (Center)
ALSE,aviation life support equipment
ALSS,advanced logistic support site
ALT,"acquisition, logistics, and technology"
ALTRV,altitude reservation
AM,amplitude modulation
AMC,airborne mission coordinator
AMC/SGXM,Air Mobility Command/Command Surgeon’s Office
AMCC,allied movement coordination center
AMCM,airborne mine countermeasures
AMCT,air mobility control team
AMD,air and missile defense
AMDC,air and missile defense commander
AMedP,allied medical publication
AMEMB,American Embassy
AMETL,agency mission-essential task list
AMHS,automated message handling system
AMLO,air mobility liaison officer
AMOC,Air and Marine Operations Center (DHS)
AMOG,air mobility operations group
AMOS,air mobility operations squadron
AMOW,air mobility operations wing
AMP,anaylsis of mobility platform
AMP-PAT,analysis of mobility platform suite of port analysis tools
AMS,Aerial Measuring System (DOE)
AMS-TAC,Automated Manifesting System-Tactical
AMT,aerial mail terminal
amu,atomic mass unit
AMX,air mobility express
AN/VRC,Army Navy vehicle radio communications
ANG,Air National Guard
ANGLICO,air-naval gunfire liaison company
ANR,Alaskan North American Aerospace Defense Command Region
ANSI,American National Standards Institute
ANZUS,Australia-New Zealand-United States Treaty
AO,action officer
AOA,amphibious objective area
AOC,air operations center
AOD,air operations directive
AODB,air operations database
AOF,azimuth of fire
AOG,Army Operations Group
AOI,area of interest
AOR,area of responsibility
AOS,aircraft on station
AOTR,Aviation Operational Threat Response
AP,allied publication
APAN,All Partners Access Network
APE,airfield pavement evaluation
APEX,Adaptive Planning and Execution
APF,afloat pre-positioning force
APHIS,Animal and Plant Health Inspection Service (USDA)
APL,antipersonnel land mine
APO,Army post office
APOD,aerial port of debarkation
APOE,aerial port of embarkation
APP,allied procedural publication
APS,Army pre-positioned stocks
APS-3,Army pre-positioned stocks-3
APTD,aircraft position target designation
APU,auxiliary power unit
AR,air refueling
ARC,air Reserve Components
ARCENT,United States Army Central Command
ARCT,air refueling control team
ARDEC,"United States Army Armament Research, Development, and Engineering Center"
ARFOR,Army forces
ARG,Accident Response Group (DOE)
ARM,air reference measure
ARNG,Army National Guard
ARS,acute radiation syndrome
ARSOF,Army special operations forces
ARSST,Army space support team
ARTYMET,artillery meteorological
ASA(ALT),"Assistant Secretary of the Army for Acquisition, Logistics, and   Technology"
ASAP,as soon as possible
ASAT,antisatellite
ASBP,Armed Services Blood Program
ASBPO,Armed Services Blood Program Office
ASC,Army Sustainment Command
ASCC,Army Service component command
ASCOPE,"areas, structures, capabilities, organizations, people, and events "
ASCS,"air support control section, air support coordination section"
ASD(GSA),Assistant Secretary of Defense for Global Strategic Affairs
ASD(HA),Assistant Secretary of Defense (Health Affairs)
ASD(HD&ASA),Assistant Secretary of Defense (Homeland Defense and Americas' Security Affairs)
ASD(HD&GS),Assistant Secretary of Defense (Homeland Defense and Global Security)
ASD(L&MR),Assistant Secretary of Defense for Logistics and Materiel Readiness
ASD(NII),Assistant Secretary of Defense (Networks and Information Integration)
ASD(OEPP),Assistant Secretary of Defense for Operational Energy Plans and Programs
ASD(RA),Assistant Secretary of Defense (Reserve Affairs)
ASD(SO/LIC&IC),Assistant Secretary of Defense for Special Operations and Low-Intensity Conflict and Interdependent Capabilities
ASD(SO/LIC),Assistant Secretary of Defense for Special Operations/Low-Intensity Conflict
ASD(PA),Assistant Secretary of Defense (Public Affairs)
ASD(S&R),Assistant Secretary of Defense (Strategy and Requirements)
ASG,Allied System for Geospatial Intelligence
ASIC,Air and Space Interoperability Council
ASLT,air support liaison team
ASM,air-to-surface missile
ASMO,Army Spectrum Management Office
ASN(RD&A),"Assistant Secretary of the Navy for Research, Development and   Acquisition"
ASOC,air support operations center
ASOG,air support operations group
ASOS,air support operations squadron
ASP,ammunition supply point
ASPR,Office of Assistant Secretary for Preparedness and Response (DHHS)
ASR,air support request
ASW,antisubmarine warfare
ASWC,antisubmarine warfare commander
AT,antiterrorism
ATA,antiterrorism assistance
ATACMS,Army Tactical Missile System
ATC,air traffic control
ATCM,air traffic control measure
ATCS,air traffic control section
ATEP,Antiterrorism Enterprise Portal
ATF,amphibious task force
ATI,asset target interaction
AtN,attack the network
ATO,air tasking order
ATOC,air terminal operations center
ATP,advanced targeting pod
ATSDR,Agency for Toxic Substances and Disease Registry (DHHS)
ATTP,"Army tactics, techniques, and procedures"
AU,African Union
AUF,airborne use of force
AUSCANNZUKUS,"Australian, Canadian, New Zealand, United Kingdom, United States"
AV,asset visibility
AVC,"Bureau of Arms Control, Verification, and Compliance (DOS)"
AVCAL,aviation consolidated allowance list
AVGAS,aviation gasoline
AVL,anti-vehicle land mine
AVS,asset validation system
AWACS,Airborne Warning and Control System
AWG,Asymmetric Warfare Group (Army)
AWNIS,Allied Worldwide Navigational Information System
AWOL,absent without leave
AXO,abandoned explosive ordnance
BAE,brigade aviation element
BAH,basic allowance for housing
BALO,battalion air liaison officer
BALS,berthing and loading schedule
BAS,basic allowance for subsistence
bbl,barrel (42 US gallons)
BCA,border crossing authority
BCC,battle control center
BCD,battlefield coordination detachment (Army)
BCG,beach control group
BCL,battlefield coordination line
BCOC,base cluster operations center
BCT,brigade combat team
BD,barge derrick
BDA,battle damage assessment
BDAREP,battle damage assessment report
BDC,blood donor center
BDE,brigade
BDOC,base defense operations center
BDR,battle damage repair
BDZ,base defense zone
BE,basic encyclopedia
BEAR,base expeditionary airfield resources
BEB,brigade engineer battalion
BEI,biometrics-enabled intelligence
BEWL,biometrics-enabled watch list
BI,battle injury
BIA,behavioral influences analysis
BIAR,biometric intelligence analysis report
BIAS,Battlefield Illumination Assistance System
BICES,battlefield information collection and exploitation system (NATO)
BICON,double container
BIFS,Border Intelligence Fusion Section
BII,base information infrastructure
BIMA,Biometrics Identity Management Agency
BIS,Bureau of Industry and Security (DOC)
BKB,blue kill box
BLCP,beach lighterage control point
BLM,Bureau of Land Management
BLOS,beyond line-of-sight
BLT,battalion landing team
BM,ballistic missile
BMCT,begin morning civil twilight
BMD,ballistic missile defense
BMDS,ballistic missile defense system
BMET,biomedical electronics technician
BMNT,begin morning nautical twilight
BMU,beachmaster unit
BN,battalion
BOC,bomb on coordinate
BOG,beach operations group
BOS,base operating support
BOS-I,base operating support-integrator
BOSS,base operating support service
BOT,bomb on target
BP,battle position
BPA,blanket purchase agreement
BPC,building partnership capacity
BPG,beach party group
BPLAN,base plan
bps,bits per second
BPT,beach party team
BRACE,Base Resource and Capabillity Estimator
BSA,beach support area
BSB,brigade support battalion
BSC,behavioral science consultant
BSI,base support installation
BSRP,bureau strategic resource plan
BSZ,base security zone
BT,bathythermograph
BTB,believed-to-be
BTC,blood transshipment center
BTU,beach termination unit
BTWC,Biological and Toxin Weapons Convention
BVR,beyond visual range
BW,biological warfare
BWC,Biological Weapons Convention
BZ,buffer zone
C,Celsius
C&E,communications and electronics
C&LAT,cargo and loading analysis table
C-E,communications-electronics
C-IED,counter-improvised explosive device
C-JWICS,Containerized Joint Worldwide Intelligence Communications System
C-NAF,component numbered air force
C-RAM,"counter-rocket, artillery, mortar"
C-SSE,consolidated satellite communications system expert
C-UAS,counter-unmanned aircraft system
C2,command and control
C2CRE,"command and control chemical, biological, radiological, and nuclear response element"
C2S,command and control support
C-2X,coalition Intelligence Directorate counterintelligence and human intelligence staff element
C3,"command, control, and communications"
C3I,"command, control, communications, and intelligence"
C4I,"command, control, communications, computers, and intelligence"
C4S,"command, control, communications, and computer systems"
CA,chaplain assistant
CAA,combat aviation advisors
CAAF,contractors authorized to accompany the force
CAC,common access card
CACOM,civil affairs command
CAD,Canadian air division
CADS,containerized ammunition distribution system
CAF,Canadian Air Force
CAG,civil affairs group
CAGO,"contractor-acquired, government-owned"
CAIS,civil authority information support
CAISE,civil authority information support element
CAL,caliber
CALCM,conventional air-launched cruise missile
CALICS,"communication, authentication, location, intentions, condition, and situation"
CAMOC,Caribbean Air and Marine Operations Center
CAMPS,Consolidated Air Mobility Planning System
CANR,Canadian North American Aerospace Defense Command Region
CANUS,Canada-United States
CANUS BDD,Canada-United States Basic Defense Document
CANUS CDP,Canada-United States Combined Defense Plan
CAO,chief administrative officer
CAOC,combined air operations center
CAP,Civil Air Patrol
CAPM,credibility assessment program manager
CAPT,civil affairs planning team
CARA,"chemical, biological, radiological, nuclear, and high-yield explosives analytical and remediation activity"
CARE,Cooperative for Assistance and Relief Everywhere (CAREUSA)
CARP,computed air release point
CARVER,"criticality, accessibility, recuperability, vulnerability, effect, and recognizability"
CAS,close air support
CASEVAC,casualty evacuation
CASF,contingency aeromedical staging facility
CAT,category
CATF,"commander, amphibious task force"
CBCP,Customs and Border Clearance Program (DOD)
CBG,coalition building guide
CBIRF,Chemical-Biological Incident Response Force
CBMU,construction battalion maintenance unit
CBP,capabilities-based planning
CBR,"chemical, biological, and radiological"
CBRN,"chemical, biological, radiological, and nuclear"
CBRNE,"chemical, biological, radiological, nuclear, and high-yield explosives"
CBSA,Canadian Border Services Agency
CbT,combating terrorism
CC,component commander
CCA,close combat attack
CCAS,contingency contract administration services
CCB,configuration control board
CCC,coalition coordination center
CCD,"camouflage, concealment, and deception"
CCDB,consolidated counterdrug database
CCDR,combatant commander
CCEB,Combined Communications-Electronics Board
CCG,combat communications group
CCICA,command counterintelligence coordinating authority
CCIF,Combatant Commander Initiative Fund
CCIP,continuously computed impact point
CCIR,commander's critical information requirement
CCLI,commerce control list item
CCMD,combatant command
CCO,central control officer
CCP,casualty collection point
CCR,closed circuit refueling
CCS,central control ship
C-CS,communication and computer systems
CCT,combat control team
CCTV,closed circuit television
CCW,1980 United Nations Convention on Conventional Weapons
CD,compact disc
CD-ROM,compact disc read-only memory
CDC,Centers for Disease Control and Prevention (DHHS)
CDD,chemical decontamination detachment
CDE,collateral damage estimation
CDEMA,Caribbean Disaster Emergency Management Agency
CDHAM,Center for Disaster and Humanitarian Assistance Medicine
CDI,cargo disposition instructions
CDIP,combined defense improvement project
CDIPO,counterdrug intelligence preparation for operations
CDM,collateral damage methodology
CDO,"commander, detainee operations"
CDOPS,counterdrug operations
CDP,commander's dissemination policy
CDR,commander
CDRAFNORTH,"Commander, Air Force North"
CDRAFSOF,"commander, Air Force special operations forces"
CDRJSOTF,"commander, joint special operations task force"
CDRNORAD,"Commander, North American Aerospace Defense Command"
CDRTSOC,"commander, theater special operations command"
CDRUSAFRICOM,"Commander, United States Africa Command"
CDRUSARNORTH,"Commander, United States Army, North"
CDRUSCENTCOM,"Commander, United States Central Command"
CDRUSCYBERCOM,"Commander, United States Cyber Command"
CDRUSELEMNORAD,"Commander, United States Element, North American Aerospace Defense Command"
CDRUSEUCOM,"Commander, United States European Command"
CDRUSNORTHCOM,"Commander, United States Northern Command"
CDRUSPACOM,"Commander, United States Pacific Command"
CDRUSSOCOM,"Commander, United States Special Operations Command"
CDRUSSOUTHCOM,"Commander, United States Southern Command"
CDRUSSTRATCOM,"Commander, United States Strategic Command"
CDRUSTRANSCOM,"Commander, United States Transportation Command"
CDS,Canadian Chief of Defence Staff
CDSO,counterdrug support office
CE,circular error
CEA,captured enemy ammunition
CEB,combat engineer battalion
CEC,civil engineer corps
CECOM,communications-electronics command
CEE,captured enemy equipment
CEHC,Counter Explosive Hazards Center (Army)
CELLEX,cellular exploitation
CEMIRT,"civil engineer maintenance, inspection, and repair team"
CENTRIXS,Combined Enterprise Regional Information Exchange System
CEOI,communications-electronics operating instructions
CEP,Chairman’s Exercise Program
CERF,Central Emergency Revolving Fund (UN)
CERFP,"chemical, biological, radiological, nuclear, and high-yield explosives enhanced response force package"
CERP,Commanders' Emergency Response Program
CERT,computer emergency response team
CEW,civilian expeditionary workforce
CEXC,combined explosives exploitation cell
CF,carrier furnished
CFA,critical factors analysis
CFACC,combined force air component commander
CFB,Canadian forces base
CFC,"Combined Forces Command, Korea"
CF-COP,counterfire common operational picture
CFL,coordinated fire line
CFLCC,coalition forces land component commander
CFO,chief financial officer
CFPM,causeway ferry power module
CFR,Code of Federal Regulations
CFST,coalition forces support team
CG,Coast Guard
CG-652,Coast Guard Spectrum Management and Telecommunications Policy Division
CGCG,Coast Guard Cryptologic Group 
CGCIS,Coast Guard Counterintelligence Service
CGDEFOR,Coast Guard defense force
CGIS,United States Coast Guard Investigative Service
CGP,Coast Guard publication
CGTTP,"Coast Guard tactics, techniques, and procedures"
CH,contingency hospital
CHB,cargo-handling battalion
CHCSS,"Chief, Central Security Service"
CHD,counterintelligence and human intelligence detachment
CHE,cargo-handing equipment
CHRP,contaminated human remains pouch
CI,civilian internee
CI/KR,critical infrastructure and key resources
CIA,Central Intelligence Agency
CIAP,Central Intelligence Agency program
CIB,combined information bureau
CIC,combat information center
CICA,counterintelligence coordinating authority
CICR,counterintelligence collection requirement
CID,combat identification
CIDNE,Combined Information Data Network Exchange
CIE,collaborative information environment
CIEA,"classification, identification, and engagement area"
CIFA,counterintelligence field activity
CIL,command information library
CIM,civil information management
CIMIC,civil-military coorperation
CIN,cargo increment number
CIO,chief information officer
CIOC,counterintelligence operations cell
CIOTA,counterintelligence operational tasking authority
CIP,critical infrastructure protection
CIS,common item support
CISAR,catastrophic incident search and rescue
CISD,critical incident stress debriefing
CISO,counterintelligence staff office
CITE,computer intrusion technical exploitation
CITP,counter-improvised explosive device targeting program
CIVMAR,civil service mariner
CIVPOL,civilian police
CJ-4,combined-joint logistics officer
CJCS,Chairman of the Joint Chiefs of Staff
CJCSI,Chairman of the Joint Chiefs of Staff instruction
CJCSM,Chairman of the Joint Chiefs of Staff manual
CJDA,critical joint duty assignment
CJE,component joint data networks operations officer equivalent
CJEODC,combined joint explosive ordnance disposal cell
CJFC,combined joint force commander
CJLOTS,combined joint logistics over-the-shore
CJMAB,Central Joint Mortuary Affairs Board
CJOC,Canada Joint Operations Command
CJSART,Criminal Justice Sector Assessment Rating Tool
CJSMPT,Coalition Joint Spectrum Management Planning Tool
CJTF,combined joint task force (NATO)
CL,coordination level
CLA,"landing craft, air cushion launch area"
CLASSRON,class squadron
CLB,combat logistics battalion
CLDP,Commercial Law Development Program
CLF,combat logistics force
CLIA,Clinical Laboratory Improvement Amendments
CLPSB,combatant commander logistic procurement support board
CLR,combat logistics regiment
CLS,contractor logistic support
CLT,civil liaison team
CLZ,cushion landing zone
cm,centimeter
CM,Chairman's memorandum
CMAA,cooperative military airlift agreement
CMAOC,Casualty and Mortuary Affairs Operations Center
CMAT,consequence management advisory team
CMC,Commandant of the Marine Corps
CMCB,civil-military coordination board 
CMCC,combined movement coordination center
CMD,cruise missile defense
CMDO,command military deception officer
CME,civil-military engagement
CMM,Office of Conflict Management and Mitigation (USAID)
CMMA,collection management mission application
CMO,civil-military operations
CMOC,cargo movement operations center
CMOS,cargo movement operations system
CMP,contractor management plan
CMPF,"commander, maritime pre-positioning force"
CMSE,civil-military support element
CMST,consequence management support team
CNBG,"commander, naval beach group"
CNC,Crime and Narcotics Center (CIA)
CNCI,Comprehensive National Cybersecurity Initiative
CNE,computer network exploitation
CNGB,"Chief, National Guard Bureau"
CNIC,"Commander, Navy Installations Command"
CNM,classified notice to mariners
CNMI,Commonwealth of the Northern Mariana Islands
CNMOC,"Commander, Naval Meteorology and Oceanography Command"
CNO,Chief of Naval Operations
CNR,combat net radio
CNWDI,critical nuclear weapons design information
CO,commanding officer
COA,course of action
COB,contingency operating base
COC,combat operations center
CoC,Code of Conduct
COCO,"contractor-owned, contractor-operated"
COCOM,combatant command (command authority)
COD,carrier onboard delivery
COE,common operating environment
COEDMHA,Center for Excellence in Disaster Management and Humanitarian Assistance (USPACOM)
COF,chief of fires
COG,center of gravity
COI,community of interest
COIC,counter-improvised explosive device operations integration center
COIN,counterinsurgency
COLDS,cargo offload and discharge system
COLISEUM,community on-line intelligence system for end-users and managers
COLPRO,collective protection
COLS,concept of logistic support
COLT,combat observation and lasing team
COM,chief of mission
COMAFFOR,"commander, Air Force forces"
COMAFSOAC,"commander, Air Force special operations air component"
COMALOC,commercial air line of communications
COMARFOR,"commander, Army forces"
COMCAM,combat camera
COMDTINST,Commandant of the Coast Guard instruction
COMFLTCYBERCOM,"Commander, Fleet Cyber Command"
COMINEWARCOM,"Commander, Mine Warfare Command"
COMINT,communications intelligence
COMLANTAREACOGARD,"Commander, Coast Guard Atlantic Area"
COMMARFOR,"commander, Marine Corps forces"
COMNAVELSG,"Commander, Navy Expeditionary Logistics Support Group"
COMNAVFOR,"commander, Navy forces"
COMNAVMETOCCOM,"Commander, Naval Meteorology and Oceanography Command"
COMNAVSURFLANT,"Commander, Naval Surface Force, Atlantic"
COMNAVSURFPAC,"Commander, Naval Surface Force, Pacific"
COMNET,communications network
COMPACAF,"Commander, Pacific Air Forces"
COMPACAREACOGARD,"Commander, Coast Guard Pacific Area"
COMPASS,Computerized Movement Planning and Status System
COMSC,"Commander, Military Sealift Command"
COMSCINST,"Commander, Military Sealift Command instruction"
COMSEC,communications security
COMSTAT,communications status
COMSUBLANT,"Commander Submarine Force, United States Atlantic Fleet"
COMSUBPAC,"Commander Submarine Force, United States Pacific Fleet"
COMTENTHFLT,"Commander, Tenth Fleet"
COMUSFLTFORCOM,"Commander, United States Fleet Forces Command"
COMUSPACFLT,"Commander, United States Pacific Fleet"
CONCAP,construction capabilities contract (Navy)
CONEX,container express
CONOPS,concept of operations
CONPLAN,concept plan
CONR,continental United States North American Aerospace Defense Command Region
CONUS,continental United States
COOP,continuity of operations
COP,common operational picture
COR,contracting officer representative
CORE,contingency response program
CORIVRON,coastal riverine squadron
COS,chief of staff
COSMIC,North Atlantic Treaty Organization (NATO) security category
COSR,combat and operational stress reactions
COT,commanding officer of troops
COTS,cargo offload and transfer system
CP,collection point
CPD,combat plans division
CPG,Contingency Planning Guidance
CPO,chief petty officer
CPU,central processing unit
CR,civil reconnaissance
CRA,continuing resolution authority
CRAF,Civil Reserve Air Fleet
CRBM,close-range ballistic missile
CRC,Civilian Response Corps (DOS)
CRD,chemical reconnaissance detachment
CRE,contingency response element
CREAPER,Communications and Radar Electronic Attack Planning Effectiveness Reference
CREW,counter radio-controlled improvised explosive device electronic warfare
CRF,coastal riverine force
CRG,contingency response group
CRIF,cargo routing information file
CRM,collection requirements management
CrM,crisis management
CRO,combat rescue officer
CROP,common relevant operational picture
CRRC,combat rubber raiding craft
CRS,coastal riverine squadron
CRSG,country reconstruction and stabilization group
CRSP,centralized receiving and shipping point
CRT,"chemical, biological, radiological, nuclear, and high-yield explosives response team"
CRTS,casualty receiving and treatment ship
CRW,contingency response wing
CS,call sign
CSA,combat support agency
CSAR,combat search and rescue
CSB,contracting support brigade
CSB (MEB),combat support brigade (maneuver enhancement brigade)
CSC,convoy support center
CSCS,country-specific security cooperation section
CSE,combat support equipment
CSEL,combat survivor evader locator
CSG,carrier strike group
CSIP,contract support integration plan
CSL,cooperative security location
CSNP,"causeway section, nonpowered"
CSO,Bureau of Conflict and Stabilization Operations (DOS)
CSOR,contract statement of requirement
CSP,campaign support plan
CSS,Central Security Service (NSA)
CSSA,combat service support area
CSSAMO,combat service support automation management office
CSSB,combat sustainment support battalion
CSSM,contracted support synchronization matrix
CSST,combat service support team
CSW,coordinate seeking weapons
CT,computed tomography
CTA,common table of allowance
CTAF,counterterrorism analytical framework
CTBT,Comprehensive Nuclear Test-Ban Treaty
CTC,cargo transfer company (USA)
CTDB,combating terrorism database
CTEP,combined training and education plan
CTF,"commander, task force"
CTF IAMD,"commander, task force integrated air and missile defense"
CTFP,Combating Terrorism Fellowship Program
CTIP,combating trafficking in persons
CTKB,combating terrorism knowledge base
CTL,candidate target list
CTN,countering threat networks
CTP,common tactical picture
CTR,cooperative threat reduction
CTS,commodity tracking system
CTU,"commander, task unit"
CUI,controlled unclassified information
CUL,common-user logistics
CULT,common-user land transportation
CV,aircraft carrier
CVN,"aircraft carrier, nuclear"
CVS,commercial vendor services
CVT,criticality-vulnerability-threat
CVW,carrier air wing
CW,chemical warfare
CWA,chemical warfare agent
CWC,Chemical Weapons Convention
CWG,counterdeception working group
CWMD,countering weapons of mass destruction
CWP,causeway pier
CWT,customer wait time
CY,calendar year
D&D,denial and deception
D&F,determinations and findings
D&M,detection and monitoring
D/CIA,"Director, Central Intelligence Agency"
D/T/ID,detect/track/identify
D3A,"decide, detect, deliver, and assess"
DA,Department of the Army
DA&M,Director of Administration and Management
DAA,designated approving authority
DAADC,deputy area air defense commander 
DAAS,defense automatic addressing system
DAB,Defense Acquisition Board
DAC,Defense Intelligence Agency (DIA) counterintelligence and security activity
DACAS,digitally aided close air support
DACG,departure airfield control group
DAF,Department of the Air Force
DAFL,directive authority for logistics
DAL,defended asset list
DALIS,Disaster Assistance Logistics Information System
DALS,downed aviator locator system
DAO,defense attaché office
DAR,Defense Acquisition Regulation
DART,disaster assistance response team
DAS,deep air support (USMC)
DASC,direct air support center
DASC(A),direct air support center (airborne)
DASD(PS),Deputy Assistant Secretary of Defense (Program Support)
DATT,defense attaché
DAWIA,Defense Acquisition Workforce Improvement Act
DBDB,digital bathymetric database
DBDB-V,digital bathymetric database variable
DBIDS,Defense Biometric Identification System
DBSMC,Defense Business Systems Management Committee
DBSS,Defense Blood Standard System
DBT,design basis threat
DC,Deputies Committee
DC3,Department of Defense Cyber Crime Center
DCA,Defense Cooperation Agreements
DCAA,Defense Contract Audit Agency
DCAM,Defense Medical Logistics Standard Support (DMLSS) customer assistance module
DCAPES,Deliberate and Crisis Action Planning and Execution Segments
DCCC,defense collection coordination center
DCE,defense coordinating element
D-cell,deployment cell
DCGS,distributed common ground/surface system
DCHA,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)"
DCHC,Defense Counterintelligence and Human Intelligence Center
DCI,defense critical infrastructure
DCID,Director of Central Intelligence directive
DCIP,Defense Critical Infrastructure Program
DCISE,Defense Industrial Base Collaborative Information Sharing Environment
DCJTF,"deputy commander, joint task force"
DCM,deputy chief of mission
DCMA,Defense Contract Management Agency
DCNO,Deputy Chief of Naval Operations
DCO,debarkation control officer
DCO-IDM,defensive cyberspace operations - internal defensive measures
DCO-RA,defensive cyberspace operations response actions
DCP,Defense Continuity Program
