Definition,Acronym
aeromedical evacuation; assault echelon,AE
Arms Export Control Act,AECA
aeromedical evacuation control team,AECT
air expeditionary force,AEF
air expeditionary group,AEG
advanced extremely high frequency,AEHF
aeromedical evacuation liaison team,AELT
allied explosive ordnance disposal publication,AEODP
Automated Explosive Ordnance Disposal Publication System,AEODPS
aeromedical evacuation operations team,AEOT
aeromedical evacuation support cell,AESC
Air Education and Training Command,AETC
air expeditionary task force,AETF
airborne early warning,AEW
Air Force; Air Force (form); amphibious force,AF
"Air Force Director of Intelligence, Surveillance, and Reconnaissance",AF/A2
Air Force Applications Program Development,AFAPD
Air Force air request net,AFARN
Advanced Field Artillery Tactical Data System,AFATDS
Air Force base,AFB
Air Force contract augmentation program,AFCAP
Air Force Component Commander,AFCC
Air Force Civil Engineer Center,AFCEC
Air Force Center for Engineering and the Environment,AFCEE
Air Force Civil Engineering Support Agency,AFCESA
Air Force doctrine annex,AFDA
Air Force doctrine document,AFDD
Armed Forces Entertainment,AFE
Air Force forces,AFFOR
Air Force handbook,AFH
Armed Forces Health Surveillance Center,AFHSC
Air Force instruction,AFI
Air Force Intelligence Analysis Agency,AFIAA
Air Force Installation Contracting Agency,AFICA
Armed Forces Institute of Pathology,AFIP
American Forces Information Service,AFIS
"Air Force Intelligence, Surveillance, and Reconnaissance Agency",AFISRA
Air Force joint instruction,AFJI
Air Force liaison element,AFLE
Air Force manual,AFMAN
Air Force Materiel Command,AFMC
Armed Forces Medical Examiner,AFME
Armed Forces Medical Examiner System,AFMES
Air Force Medical Service,AFMS
Air Force North,AFNORTH
advance force operations,AFO
assault follow-on echelon,AFOE
Air Force Office of Special Investigations,AFOSI
Air Force Office of Special Investigations manual,AFOSIMAN
Air Force pamphlet,AFPAM
Air Force Personnel Center,AFPC
Air Force policy directive,AFPD
Air Force Reserve,AFR
Air Force Radiation Assessment Team,AFRAT
Air Force Reserve Command,AFRC
Air Force Rescue Coordination Center,AFRCC
Air Force Research Laboratory,AFRL
Armed Forces Radiobiology Research Institute,AFRRI
American Forces Radio and Television Service,AFRTS
afloat forward staging base; Army field support brigade,AFSB
Army Field Support Center,AFSC
Air Force Satellite Control Network,AFSCN
Air Force Spectrum Management Office,AFSMO
Air Force special operations air component,AFSOAC
Air Force special operations air detachment,AFSOAD
Air Force special operations air element,AFSOAE
Air Force Special Operations Command,AFSOC
Air Force special operations forces,AFSOF
Air Force Space Command,AFSPC
Air Forces Strategic,AFSTRAT
Air Force Technical Applications Center,AFTAC
Air Force Transportation Component,AFTRANS
"Air Force tactics, techniques, and procedures",AFTTP
"Air Force tactics, techniques, and procedures (instruction)",AFTTP(I)
Air Force Weather,AFW
Air Force Weather Agency,AFWA
above ground level,AGL
aviation ground support,AGS
attack helicopter,AH
alert holding area,AHA
antihandling device,AHD
acquisition instruction; air interdiction,AI
acquired immunodeficiency syndrome,AIDS
aircraft intermediate maintenance department,AIMD
air interdiction of maritime targets,AIMT
aeronautical information publication,AIP
air corridor,AIRCOR
air support request,AIRSUPREQ
automated information system,AIS
automated information technology; automatic identification technology,AIT
anti-jam,AJ
area joint blood program office,AJBPO
allied joint doctrine,AJD
allied joint operations doctrine working group,AJODWG
Allied joint publication,AJP
as low as reasonably achievable,ALARA
airlift control flight,ALCF
air-launched cruise missile,ALCM
United States Alaskan Command,ALCOM
airlift control team,ALCT
available-to-load date,ALD
amphibious lift enhancement program,ALEP
alert order,ALERTORD
allocation request,ALLOREQ
ammunition lot number,ALN
air liaison officer,ALO
air line of communications,ALOC
allied logistic publication,ALP
Air Land Sea Application (Center),ALSA
aviation life support equipment,ALSE
advanced logistic support site,ALSS
"acquisition, logistics, and technology",ALT
altitude reservation,ALTRV
amplitude modulation,AM
airborne mission coordinator; Air Mobility Command,AMC
Air Mobility Command/Command Surgeon’s Office,AMC/SGXM
allied movement coordination center,AMCC
airborne mine countermeasures,AMCM
air mobility control team,AMCT
air and missile defense; air mobility division,AMD
air and missile defense commander,AMDC
allied medical publication,AMedP
American Embassy,AMEMB
agency mission-essential task list,AMETL
automated message handling system,AMHS
air mobility liaison officer,AMLO
Air and Marine Operations Center (DHS),AMOC
air mobility operations group,AMOG
air mobility operations squadron,AMOS
air mobility operations wing,AMOW
anaylsis of mobility platform,AMP
analysis of mobility platform suite of port analysis tools,AMP-PAT
Aerial Measuring System (DOE); air mobility squadron; Asset Management System,AMS
Automated Manifesting System-Tactical,AMS-TAC
aerial mail terminal,AMT
atomic mass unit,amu
air mobility express,AMX
Army Navy vehicle radio communications,AN/VRC
Air National Guard,ANG
air-naval gunfire liaison company,ANGLICO
Alaskan North American Aerospace Defense Command Region,ANR
American National Standards Institute,ANSI
Australia-New Zealand-United States Treaty,ANZUS
action officer; air officer; area of operations,AO
amphibious objective area,AOA
air operations center,AOC
air operations directive,AOD
air operations database,AODB
azimuth of fire,AOF
Army Operations Group,AOG
area of interest,AOI
area of responsibility,AOR
aircraft on station,AOS
Aviation Operational Threat Response,AOTR
allied publication; antipersonnel,AP
All Partners Access Network,APAN
airfield pavement evaluation,APE
Adaptive Planning and Execution,APEX
afloat pre-positioning force,APF
Animal and Plant Health Inspection Service (USDA),APHIS
antipersonnel land mine,APL
Army post office,APO
aerial port of debarkation,APOD
aerial port of embarkation,APOE
allied procedural publication,APP
Army pre-positioned stocks,APS
Army pre-positioned stocks-3,APS-3
aircraft position target designation,APTD
auxiliary power unit,APU
air refueling; Army regulation,AR
air Reserve Components; American Red Cross,ARC
United States Army Central Command,ARCENT
air refueling control team,ARCT
"United States Army Armament Research, Development, and Engineering Center",ARDEC
Army forces,ARFOR
Accident Response Group (DOE); amphibious ready group,ARG
air reference measure; antiradiation missile,ARM
Army National Guard,ARNG
acute radiation syndrome,ARS
Army special operations forces,ARSOF
Army space support team,ARSST
artillery meteorological,ARTYMET
"Assistant Secretary of the Army for Acquisition, Logistics, and   Technology",ASA(ALT)
as soon as possible,ASAP
antisatellite,ASAT
Armed Services Blood Program,ASBP
Armed Services Blood Program Office,ASBPO
Army Sustainment Command,ASC
Army Service component command; Army Service component commander,ASCC
"areas, structures, capabilities, organizations, people, and events ",ASCOPE
"air support control section, air support coordination section",ASCS
Assistant Secretary of Defense for Global Strategic Affairs,ASD(GSA)
Assistant Secretary of Defense (Health Affairs),ASD(HA)
Assistant Secretary of Defense (Homeland Defense and Americas' Security Affairs),ASD(HD&ASA)
Assistant Secretary of Defense (Homeland Defense and Global Security),ASD(HD&GS)
Assistant Secretary of Defense for Logistics and Materiel Readiness,ASD(L&MR)
Assistant Secretary of Defense (Networks and Information Integration),ASD(NII)
Assistant Secretary of Defense for Operational Energy Plans and Programs,ASD(OEPP)
Assistant Secretary of Defense (Reserve Affairs),ASD(RA)
Assistant Secretary of Defense for Special Operations and Low-Intensity Conflict and Interdependent Capabilities,ASD(SO/LIC&IC)
Assistant Secretary of Defense for Special Operations/Low-Intensity Conflict,ASD(SO/LIC)
Assistant Secretary of Defense (Public Affairs),ASD(PA)
Assistant Secretary of Defense (Strategy and Requirements),ASD(S&R)
Allied System for Geospatial Intelligence,ASG
Air and Space Interoperability Council,ASIC
air support liaison team; assault support landing table,ASLT
air-to-surface missile; Army Spectrum Manager,ASM
Army Spectrum Management Office,ASMO
"Assistant Secretary of the Navy for Research, Development and   Acquisition",ASN(RD&A)
air support operations center,ASOC
air support operations group,ASOG
air support operations squadron,ASOS
ammunition supply point,ASP
Office of Assistant Secretary for Preparedness and Response (DHHS),ASPR
air support request,ASR
antisubmarine warfare,ASW
antisubmarine warfare commander,ASWC
antiterrorism,AT
antiterrorism assistance,ATA
Army Tactical Missile System,ATACMS
air traffic control,ATC
air traffic control measure,ATCM
air traffic control section,ATCS
Antiterrorism Enterprise Portal,ATEP
"amphibious task force; Bureau of Alcohol, Tobacco, Firearms, and Explosives (DOJ)",ATF
asset target interaction,ATI
attack the network,AtN
air tasking order; antiterrorism officer,ATO
air terminal operations center,ATOC
advanced targeting pod; allied tactical publication; Army tactical publication; Army technical publication; Army techniques publication,ATP
Agency for Toxic Substances and Disease Registry (DHHS),ATSDR
"Army tactics, techniques, and procedures",ATTP
African Union,AU
airborne use of force,AUF
"Australian, Canadian, New Zealand, United Kingdom, United States",AUSCANNZUKUS
asset visibility,AV
"Bureau of Arms Control, Verification, and Compliance (DOS)",AVC
aviation consolidated allowance list,AVCAL
aviation gasoline,AVGAS
anti-vehicle land mine,AVL
asset validation system,AVS
Airborne Warning and Control System,AWACS
Asymmetric Warfare Group (Army),AWG
Allied Worldwide Navigational Information System,AWNIS
absent without leave,AWOL
abandoned explosive ordnance,AXO
brigade aviation element,BAE
basic allowance for housing,BAH
battalion air liaison officer,BALO
berthing and loading schedule,BALS
basic allowance for subsistence,BAS
barrel (42 US gallons),bbl
border crossing authority,BCA
battle control center,BCC
battlefield coordination detachment (Army),BCD
beach control group,BCG
battlefield coordination line,BCL
base cluster operations center,BCOC
brigade combat team,BCT
barge derrick,BD
battle damage assessment,BDA
battle damage assessment report,BDAREP
blood donor center,BDC
brigade,BDE
base defense operations center,BDOC
battle damage repair,BDR
base defense zone,BDZ
basic encyclopedia,BE
base expeditionary airfield resources,BEAR
brigade engineer battalion,BEB
biometrics-enabled intelligence,BEI
biometrics-enabled watch list,BEWL
battle injury,BI
behavioral influences analysis,BIA
biometric intelligence analysis report,BIAR
Battlefield Illumination Assistance System,BIAS
battlefield information collection and exploitation system (NATO),BICES
double container,BICON
Border Intelligence Fusion Section,BIFS
base information infrastructure,BII
Biometrics Identity Management Agency,BIMA
Bureau of Industry and Security (DOC),BIS
blue kill box,BKB
beach lighterage control point,BLCP
Bureau of Land Management,BLM
beyond line-of-sight,BLOS
battalion landing team,BLT
ballistic missile; beach module,BM
begin morning civil twilight,BMCT
ballistic missile defense,BMD
ballistic missile defense system,BMDS
biomedical electronics technician,BMET
begin morning nautical twilight,BMNT
beachmaster unit,BMU
battalion,BN
bomb on coordinate,BOC
beach operations group,BOG
base operating support,BOS
base operating support-integrator,BOS-I
base operating support service,BOSS
bomb on target,BOT
battle position,BP
blanket purchase agreement,BPA
building partnership capacity,BPC
beach party group,BPG
base plan,BPLAN
bits per second,bps
beach party team,BPT
Base Resource and Capabillity Estimator,BRACE
beach support area; brigade support area,BSA
brigade support battalion,BSB
behavioral science consultant,BSC
base support installation,BSI
bureau strategic resource plan,BSRP
base security zone,BSZ
bathythermograph,BT
believed-to-be,BTB
blood transshipment center,BTC
beach termination unit,BTU
Biological and Toxin Weapons Convention,BTWC
beyond visual range,BVR
biological warfare,BW
Biological Weapons Convention,BWC
buffer zone,BZ
Celsius,C
communications and electronics,C&E
cargo and loading analysis table,C&LAT
communications-electronics,C-E
counter-improvised explosive device,C-IED
Containerized Joint Worldwide Intelligence Communications System,C-JWICS
component numbered air force,C-NAF
"counter-rocket, artillery, mortar",C-RAM
consolidated satellite communications system expert,C-SSE
counter-unmanned aircraft system,C-UAS
command and control,C2
"command and control chemical, biological, radiological, and nuclear response element",C2CRE
command and control support,C2S
coalition Intelligence Directorate counterintelligence and human intelligence staff element,C-2X
"command, control, and communications",C3
"command, control, communications, and intelligence",C3I
"command, control, communications, computers, and intelligence",C4I
"command, control, communications, and computer systems",C4S
chaplain assistant; civil administration; civil affairs; combat assessment; coordinating altitude; credibility assessment; criticality assessment,CA
combat aviation advisors; command arrangement agreement,CAA
contractors authorized to accompany the force,CAAF
common access card,CAC
civil affairs command,CACOM
Canadian air division; contract administration delegation ,CAD
containerized ammunition distribution system,CADS
"Canadian Air Force; combat air forces; commander, airborne/air assault force; commander, amphibious force; Conflict Assessment Framework (USAID)",CAF
civil affairs group,CAG
"contractor-acquired, government-owned",CAGO
civil authority information support,CAIS
civil authority information support element,CAISE
caliber; critical asset list,CAL
conventional air-launched cruise missile,CALCM
"communication, authentication, location, intentions, condition, and situation",CALICS
Caribbean Air and Marine Operations Center,CAMOC
Consolidated Air Mobility Planning System,CAMPS
Canadian North American Aerospace Defense Command Region,CANR
Canada-United States,CANUS
Canada-United States Basic Defense Document,CANUS BDD
Canada-United States Combined Defense Plan,CANUS CDP
chief administrative officer; civil affairs operations; controlled asset operation,CAO
combined air operations center,CAOC
Civil Air Patrol; civil augmentation program; combat air patrol; crisis action planning,CAP
credibility assessment program manager,CAPM
civil affairs planning team,CAPT
"chemical, biological, radiological, nuclear, and high-yield explosives analytical and remediation activity",CARA
Cooperative for Assistance and Relief Everywhere (CAREUSA),CARE
computed air release point,CARP
"criticality, accessibility, recuperability, vulnerability, effect, and recognizability",CARVER
close air support,CAS
casualty evacuation,CASEVAC
contingency aeromedical staging facility,CASF
category; civil affairs team; crisis action team,CAT
"commander, amphibious task force",CATF
Customs and Border Clearance Program (DOD),CBCP
coalition building guide,CBG
Chemical-Biological Incident Response Force,CBIRF
construction battalion maintenance unit,CBMU
capabilities-based planning; Customs and Border Protection (DHS),CBP
"chemical, biological, and radiological",CBR
"chemical, biological, radiological, and nuclear",CBRN
"chemical, biological, radiological, nuclear, and high-yield explosives",CBRNE
Canadian Border Services Agency,CBSA
combating terrorism,CbT
component commander; critical capability,CC
close combat attack; combat cargo assistant; contract construction agent,CCA
contingency contract administration services,CCAS
configuration control board,CCB
coalition coordination center,CCC
"camouflage, concealment, and deception",CCD
consolidated counterdrug database,CCDB
combatant commander,CCDR
Combined Communications-Electronics Board,CCEB
combat communications group,CCG
command counterintelligence coordinating authority,CCICA
Combatant Commander Initiative Fund,CCIF
continuously computed impact point,CCIP
commander's critical information requirement,CCIR
commerce control list item,CCLI
combatant command,CCMD
central control officer; combat cargo officer; container control officer; contingency contracting officer,CCO
casualty collection point; consolidated cryptologic program; consolidation and containerization point,CCP
closed circuit refueling,CCR
central control ship; commander’s communication synchronization; core capability set,CCS
communication and computer systems,C-CS
combat control team,CCT
closed circuit television,CCTV
1980 United Nations Convention on Conventional Weapons,CCW
compact disc; counterdrug; customer direct,CD
compact disc read-only memory,CD-ROM
Centers for Disease Control and Prevention (DHHS),CDC
chemical decontamination detachment,CDD
collateral damage estimation,CDE
Caribbean Disaster Emergency Management Agency,CDEMA
Center for Disaster and Humanitarian Assistance Medicine,CDHAM
cargo disposition instructions,CDI
combined defense improvement project,CDIP
counterdrug intelligence preparation for operations,CDIPO
collateral damage methodology,CDM
"commander, detainee operations",CDO
counterdrug operations,CDOPS
commander's dissemination policy,CDP
commander,CDR
"Commander, Air Force North",CDRAFNORTH
"commander, Air Force special operations forces",CDRAFSOF
"commander, joint special operations task force",CDRJSOTF
"Commander, North American Aerospace Defense Command",CDRNORAD
"commander, theater special operations command",CDRTSOC
"Commander, United States Africa Command",CDRUSAFRICOM
"Commander, United States Army, North",CDRUSARNORTH
"Commander, United States Central Command",CDRUSCENTCOM
"Commander, United States Cyber Command",CDRUSCYBERCOM
"Commander, United States Element, North American Aerospace Defense Command",CDRUSELEMNORAD
"Commander, United States European Command",CDRUSEUCOM
"Commander, United States Northern Command",CDRUSNORTHCOM
"Commander, United States Pacific Command",CDRUSPACOM
"Commander, United States Special Operations Command",CDRUSSOCOM
"Commander, United States Southern Command",CDRUSSOUTHCOM
"Commander, United States Strategic Command",CDRUSSTRATCOM
"Commander, United States Transportation Command",CDRUSTRANSCOM
Canadian Chief of Defence Staff; Chief of Defence Staff (Canada); container delivery system,CDS
counterdrug support office,CDSO
circular error; command element (USMC); communications-electronics; core element; counterespionage; critical element,CE
captured enemy ammunition,CEA
combat engineer battalion,CEB
civil engineer corps,CEC
communications-electronics command,CECOM
captured enemy equipment,CEE
Counter Explosive Hazards Center (Army),CEHC
cellular exploitation,CELLEX
"civil engineer maintenance, inspection, and repair team",CEMIRT
Combined Enterprise Regional Information Exchange System,CENTRIXS
communications-electronics operating instructions,CEOI
Chairman’s Exercise Program,CEP
Central Emergency Revolving Fund (UN),CERF
"chemical, biological, radiological, nuclear, and high-yield explosives enhanced response force package",CERFP
Commanders' Emergency Response Program,CERP
computer emergency response team; contingency engineering response team,CERT
civilian expeditionary workforce,CEW
combined explosives exploitation cell,CEXC
carrier furnished; causeway ferry; conventional forces,CF
critical factors analysis,CFA
combined force air component commander,CFACC
Canadian forces base,CFB
"Combined Forces Command, Korea",CFC
counterfire common operational picture,CF-COP
coordinated fire line,CFL
coalition forces land component commander,CFLCC
chief financial officer,CFO
causeway ferry power module,CFPM
Code of Federal Regulations,CFR
coalition forces support team,CFST
Coast Guard; commanding general,CG
Coast Guard Spectrum Management and Telecommunications Policy Division,CG-652
Coast Guard Cryptologic Group ,CGCG
Coast Guard Counterintelligence Service,CGCIS
Coast Guard defense force,CGDEFOR
United States Coast Guard Investigative Service,CGIS
Coast Guard publication,CGP
"Coast Guard tactics, techniques, and procedures",CGTTP
contingency hospital,CH
cargo-handling battalion,CHB
"Chief, Central Security Service",CHCSS
counterintelligence and human intelligence detachment,CHD
cargo-handing equipment; container-handling equipment,CHE
contaminated human remains pouch,CHRP
civilian internee; counterintelligence,CI
critical infrastructure and key resources,CI/KR
Central Intelligence Agency,CIA
Central Intelligence Agency program,CIAP
combined information bureau; controlled image base,CIB
combat information center,CIC
counterintelligence coordinating authority,CICA
counterintelligence collection requirement,CICR
combat identification,CID
Combined Information Data Network Exchange,CIDNE
collaborative information environment; cultural intelligence element,CIE
"classification, identification, and engagement area",CIEA
counterintelligence field activity,CIFA
command information library; critical information list; critical item list,CIL
civil information management; compartmented information management,CIM
civil-military coorperation,CIMIC
cargo increment number,CIN
chief information officer; command intelligence officer,CIO
counterintelligence operations cell,CIOC
counterintelligence operational tasking authority,CIOTA
critical infrastructure protection,CIP
common item support,CIS
catastrophic incident search and rescue,CISAR
critical incident stress debriefing,CISD
counterintelligence staff office,CISO
computer intrusion technical exploitation,CITE
counter-improvised explosive device targeting program,CITP
civil service mariner,CIVMAR
civilian police,CIVPOL
combined-joint logistics officer,CJ-4
Chairman of the Joint Chiefs of Staff,CJCS
Chairman of the Joint Chiefs of Staff instruction,CJCSI
Chairman of the Joint Chiefs of Staff manual,CJCSM
critical joint duty assignment,CJDA
component joint data networks operations officer equivalent,CJE
combined joint explosive ordnance disposal cell,CJEODC
combined joint force commander,CJFC
combined joint logistics over-the-shore,CJLOTS
Central Joint Mortuary Affairs Board,CJMAB
Canada Joint Operations Command,CJOC
Criminal Justice Sector Assessment Rating Tool,CJSART
Coalition Joint Spectrum Management Planning Tool,CJSMPT
"combined joint task force (NATO); commander, joint task force",CJTF
coordination level,CL
"landing craft, air cushion launch area",CLA
class squadron,CLASSRON
combat logistics battalion,CLB
Commercial Law Development Program,CLDP
"combat logistics force; commander, landing force",CLF
Clinical Laboratory Improvement Amendments,CLIA
combatant commander logistic procurement support board,CLPSB
combat logistics regiment,CLR
contractor logistic support,CLS
civil liaison team,CLT
"cushion landing zone; landing craft, air cushion landing zone",CLZ
centimeter,cm
Chairman's memorandum; collection manager; combination module; countermine; cruise missile,CM
cooperative military airlift agreement,CMAA
Casualty and Mortuary Affairs Operations Center,CMAOC
consequence management advisory team,CMAT
Commandant of the Marine Corps; Office of Civilian-Military Cooperation (USAID),CMC
civil-military coordination board ,CMCB
combined movement coordination center,CMCC
cruise missile defense,CMD
command military deception officer,CMDO
civil-military engagement,CME
Office of Conflict Management and Mitigation (USAID),CMM
collection management mission application,CMMA
civil-military operations; collection management office(r),CMO
cargo movement operations center; civil-military operations center,CMOC
cargo movement operations system; Cargo Movement Operations System (USAF),CMOS
contractor management plan,CMP
"commander, maritime pre-positioning force",CMPF
civil-military support element,CMSE
consequence management support team,CMST
"commander, naval beach group",CNBG
Crime and Narcotics Center (CIA),CNC
Comprehensive National Cybersecurity Initiative,CNCI
computer network exploitation,CNE
"Chief, National Guard Bureau",CNGB
"Commander, Navy Installations Command",CNIC
classified notice to mariners,CNM
Commonwealth of the Northern Mariana Islands,CNMI
"Commander, Naval Meteorology and Oceanography Command",CNMOC
Chief of Naval Operations,CNO
combat net radio,CNR
critical nuclear weapons design information,CNWDI
commanding officer; cyberspace operations,CO
course of action,COA
contingency operating base,COB
combat operations center,COC
Code of Conduct,CoC
"contractor-owned, contractor-operated",COCO
combatant command (command authority),COCOM
carrier onboard delivery; combat operations division,COD
common operating environment; concept of employment,COE
Center for Excellence in Disaster Management and Humanitarian Assistance (USPACOM),COEDMHA
chief of fires; conduct of fire,COF
center of gravity; continuity of government,COG
community of interest,COI
counter-improvised explosive device operations integration center; Counter-Improvised Explosive Device Operations/Intelligence Integration Center (JIEDDO),COIC
counterinsurgency,COIN
cargo offload and discharge system,COLDS
community on-line intelligence system for end-users and managers,COLISEUM
collective protection,COLPRO
concept of logistic support,COLS
combat observation and lasing team,COLT
chief of mission; collection operations management,COM
"commander, Air Force forces",COMAFFOR
"commander, Air Force special operations air component",COMAFSOAC
commercial air line of communications,COMALOC
"commander, Army forces",COMARFOR
combat camera,COMCAM
Commandant of the Coast Guard instruction,COMDTINST
"Commander, Fleet Cyber Command",COMFLTCYBERCOM
"Commander, Mine Warfare Command",COMINEWARCOM
communications intelligence,COMINT
"Commander, Coast Guard Atlantic Area",COMLANTAREACOGARD
"commander, Marine Corps forces",COMMARFOR
"Commander, Navy Expeditionary Logistics Support Group",COMNAVELSG
"commander, Navy forces",COMNAVFOR
"Commander, Naval Meteorology and Oceanography Command",COMNAVMETOCCOM
"Commander, Naval Surface Force, Atlantic",COMNAVSURFLANT
"Commander, Naval Surface Force, Pacific",COMNAVSURFPAC
communications network,COMNET
"Commander, Pacific Air Forces",COMPACAF
"Commander, Coast Guard Pacific Area",COMPACAREACOGARD
Computerized Movement Planning and Status System,COMPASS
"Commander, Military Sealift Command",COMSC
"Commander, Military Sealift Command instruction",COMSCINST
communications security,COMSEC
communications status,COMSTAT
"Commander Submarine Force, United States Atlantic Fleet",COMSUBLANT
"Commander Submarine Force, United States Pacific Fleet",COMSUBPAC
"Commander, Tenth Fleet",COMTENTHFLT
"Commander, United States Fleet Forces Command",COMUSFLTFORCOM
"Commander, United States Pacific Fleet",COMUSPACFLT
construction capabilities contract (Navy); construction capabilities contract program,CONCAP
container express,CONEX
concept of operations,CONOPS
concept plan; operation plan in concept format,CONPLAN
continental United States North American Aerospace Defense Command Region,CONR
continental United States,CONUS
continuity of operations,COOP
common operational picture,COP
contracting officer representative,COR
contingency response program,CORE
coastal riverine squadron,CORIVRON
chief of staff,COS
North Atlantic Treaty Organization (NATO) security category,COSMIC
combat and operational stress reactions,COSR
commanding officer of troops,COT
cargo offload and transfer system; commercial off-the-shelf,COTS
collection point; command post; contact point; control point; counterproliferation,CP
combat plans division,CPD
Contingency Planning Guidance,CPG
chief petty officer,CPO
central processing unit,CPU
civil reconnaissance; critical requirement,CR
continuing resolution authority; coordinating review authority,CRA
Civil Reserve Air Fleet,CRAF
close-range ballistic missile,CRBM
Civilian Response Corps (DOS); coastal riverine company; control and reporting center; crisis reaction center,CRC
chemical reconnaissance detachment,CRD
contingency response element,CRE
Communications and Radar Electronic Attack Planning Effectiveness Reference,CREAPER
counter radio-controlled improvised explosive device electronic warfare,CREW
coastal riverine force; contingency response force,CRF
contingency response group,CRG
cargo routing information file,CRIF
collection requirements management; comment resolution matrix,CRM
crisis management,CrM
combat rescue officer,CRO
common relevant operational picture,CROP
combat rubber raiding craft,CRRC
coastal riverine squadron,CRS
country reconstruction and stabilization group,CRSG
centralized receiving and shipping point,CRSP
"chemical, biological, radiological, nuclear, and high-yield explosives response team; contingency response team",CRT
casualty receiving and treatment ship,CRTS
contingency response wing,CRW
call sign; circuit switch; combat support; critical source,CS
combat support agency,CSA
combat search and rescue,CSAR
contracting support brigade,CSB
combat support brigade (maneuver enhancement brigade),CSB (MEB)
convoy support center; International Convention for Safe Containers,CSC
country-specific security cooperation section,CSCS
combat support equipment; contingency support element; cyberspace support element,CSE
combat survivor evader locator; command senior enlisted leader,CSEL
carrier strike group; cryptologic services group; Cryptologic Support Group,CSG
contract support integration plan,CSIP
cooperative security location,CSL
"causeway section, nonpowered",CSNP
Bureau of Conflict and Stabilization Operations (DOS); Center for Special Operations (USSOCOM),CSO
contract statement of requirement,CSOR
"campaign support plan; career sea pay; causeway section, powered; contracting support plan",CSP
Central Security Service (NSA); combat service support,CSS
combat service support area,CSSA
combat service support automation management office,CSSAMO
combat sustainment support battalion,CSSB
contracted support synchronization matrix,CSSM
combat service support team,CSST
coordinate seeking weapons,CSW
computed tomography; counterterrorism; country team,CT
common table of allowance,CTA
counterterrorism analytical framework,CTAF
Comprehensive Nuclear Test-Ban Treaty,CTBT
cargo transfer company (USA),CTC
combating terrorism database,CTDB
combined training and education plan,CTEP
"commander, task force; counter threat finance ",CTF
"commander, task force integrated air and missile defense",CTF IAMD
Combating Terrorism Fellowship Program,CTFP
combating trafficking in persons,CTIP
combating terrorism knowledge base,CTKB
candidate target list,CTL
countering threat networks,CTN
common tactical picture,CTP
cooperative threat reduction,CTR
commodity tracking system; Contingency Tracking System; controlled technical services,CTS
"commander, task unit",CTU
controlled unclassified information,CUI
common-user logistics,CUL
common-user land transportation,CULT
aircraft carrier; critical vulnerability,CV
"aircraft carrier, nuclear",CVN
commercial vendor services,CVS
criticality-vulnerability-threat,CVT
carrier air wing,CVW
chemical warfare; continuous wave,CW
