,description,id,menu_item,price,rest_name
24,"a crunchy, corn taco, shell filled with seasoned ground beef, crisp shredded lettuce, and fiesta salsa.",1Dfx3zM-rW4n-31KeC8sJg,Fresco Crunchy Taco,,Taco Bell
25,"a warm, soft flour tortilla filled with authentic carne asada steak, crisp shredded lettuce, diced ripe tomatoes, and fiesta salsa.",1Dfx3zM-rW4n-31KeC8sJg,Fresco Grilled Steak Soft Taco,,Taco Bell
26,"a warm, soft flour tortilla filled with seasoned ground beef, crisp shredded lettuce, and fiesta salsa.",1Dfx3zM-rW4n-31KeC8sJg,Fresco Soft Taco,,Taco Bell
27,"a warm, soft flour tortilla filled with marinated and grilled all-white-meat chicken, crisp shredded lettuce, and fiesta salsa.",1Dfx3zM-rW4n-31KeC8sJg,Fresco Chicken Soft Taco,,Taco Bell
28,"a crunchy, corn taco shell filled with seasoned ground beef, crisp shredded lettuce, and real cheddar cheese.",1Dfx3zM-rW4n-31KeC8sJg,Crunchy Taco,,Taco Bell
29,"a warm, soft flour tortilla filled with seasoned ground beef, reduced fat sour cream, crisp shredded lettuce, real cheddar cheese, and diced ripe tomatoes.",1Dfx3zM-rW4n-31KeC8sJg,Soft Taco Supreme,,Taco Bell
30,"a crunchy, corn taco shell filled with seasoned ground beef, reduced fat sour cream, crisp shredded lettuce, real cheddar cheese, and diced ripe tomatoes.",1Dfx3zM-rW4n-31KeC8sJg,Crunchy Taco Supreme,,Taco Bell
31,"a warm, soft flour tortilla filled with seasoned ground beef, crisp shredded lettuce, and real cheddar cheese.",1Dfx3zM-rW4n-31KeC8sJg,Soft Taco,,Taco Bell
32,"a crunchy red corn tortilla shell, filled with seasoned beef, crisp shredded lettuce, real cheddar cheese and topped off with cheesy molten hot lava sauce.",1Dfx3zM-rW4n-31KeC8sJg,Volcano Taco,,Taco Bell
33,"a warm, soft flour tortilla spread with hearty beans and wrapped around a crunchy, corn taco shell filled with seasoned ground beef, crisp shredded lettuce, and real cheddar cheese.",1Dfx3zM-rW4n-31KeC8sJg,Double Decker Taco,,Taco Bell
34,"a warm, soft flour tortilla spread with hearty beans and wrapped around a crunchy corn taco shell filled with seasoned ground beef, real cheddar cheese, crisp shredded lettuce, diced ripe tomatoes and reduced fat sour cream.",1Dfx3zM-rW4n-31KeC8sJg,Double Decker Taco Supreme,,Taco Bell
35,"a warm, soft flour tortilla filled with authentic carne asada steak, real cheddar cheese, crisp shredded lettuce, diced ripe tomatoes, and avocado ranch sauce.",1Dfx3zM-rW4n-31KeC8sJg,Grilled Steak Soft Taco,,Taco Bell
36,"a warm, soft flour tortilla filled with marinated all-white-meat chicken, topped with crisp shredded lettuce and real cheddar cheese.",1Dfx3zM-rW4n-31KeC8sJg,Chicken Soft Taco,,Taco Bell
37,"a warm, soft flour tortilla wrapped around seasoned beef, hearty beans, tangy red sauce, crisp shredded lettuce, real cheddar cheese, diced onions, diced ripe tomatoes, and reduced-fat sour cream.",1Dfx3zM-rW4n-31KeC8sJg,Burrito Supreme,,Taco Bell
38,"a warm, soft flour tortilla wrapped around hearty beans, tangy red sauce, diced onions, and fiesta salsa.",1Dfx3zM-rW4n-31KeC8sJg,Fresco Bean Burrito,,Taco Bell
39,"a warm, soft flour, tortilla wrapped around grilled, marinated all-white-meat chicken, hearty beans, tangy red sauce, crisp shredded lettuce, diced onions, diced ripe tomatoes, and fiesta salsa.",1Dfx3zM-rW4n-31KeC8sJg,Fresco Burrito Supreme Chicken,,Taco Bell
40,"a warm, soft flour tortilla wrapped around authentic carne asada steak, hearty beans, tangy red sauce, crisp shredded lettuce, diced onions, diced ripe tomatoes, and fiesta salsa.",1Dfx3zM-rW4n-31KeC8sJg,Fresco Burrito Supreme Steak,,Taco Bell
41,"a warm, soft flour tortilla that's packed with a double portion of seasoned ground beef, seasoned rice, crunchy red tortilla strips, real cheddar cheese, cool reduced-fat sour cream and cheesy, molten hot lava sauce.",1Dfx3zM-rW4n-31KeC8sJg,Volcano Burrito,,Taco Bell
42,"a warm, soft flour tortilla loaded with a double portion of seasoned ground beef filled with hearty beans, onions, real cheddar cheese, and tangy red sauce.",1Dfx3zM-rW4n-31KeC8sJg,1/2 Lb Combo Burrito,,Taco Bell
43,"a warm, soft flour tortilla loaded with a double portion of seasoned ground beef and filled with crispy potato bites, warm nacho cheese sauce, and reduced fat sour cream.",1Dfx3zM-rW4n-31KeC8sJg,1/2 Lb. Cheesy Potato Burrito,,Taco Bell
44,"a warm, soft flour tortilla wrapped around hearty beans, real cheddar cheese, tangy red sauce and diced onions.",1Dfx3zM-rW4n-31KeC8sJg,Bean Burrito,,Taco Bell
45,"the new xxl, grilled stuff burrito is our biggest burrito yet, stuft full of our seasoned beef, a three cheese blend, flavorful seasoned rice, hearty beans, reduced-fat sour cream, chunky guacamole avocado ranch and fiesta salsa, wrapped up in a warm flour tortilla.",1Dfx3zM-rW4n-31KeC8sJg,New XXL Grilled Stuft Burrito Beef,,Taco Bell
46,"the new xxl, grilled stuft burrito is our biggest burrito yet, stuft full of all white-meat-chicken, a three cheese blend, hearty beans, reduced-fat sour cream, chunky guacamole, avocado ranch and fiesta salsa, wrapped up in a warm flour tortilla.",1Dfx3zM-rW4n-31KeC8sJg,XXL Grilled Stuft Burrito Chicken,,Taco Bell
47,"the new xxl grilled stuft burrito is our biggest burrito yet, stuft full of grilled, marinated steak, a three cheese blend, flavorful seasoned rice, hearty beans, reduced-fat sour cream, chunky guacamole, avocado ranch and fiesta salsa, wrapped up in a warm flour tortilla.",1Dfx3zM-rW4n-31KeC8sJg,XXL Grilled Stuft Burrito Steak,,Taco Bell
48,"warm, pillowy flatbread filled with seasoned ground beef, creamy pepper jack sauce, crisp shredded lettuce, a three cheese and blend and fiesta salsa.",1Dfx3zM-rW4n-31KeC8sJg,Gordita Baja,,Taco Bell
49,"warm, pillow flatbread filled with seasoned ground beef, reduced fat sour cream, crisp shredded lettuce, a three cheese blend and diced ripe tomatoes.",1Dfx3zM-rW4n-31KeC8sJg,Gordita Supreme,,Taco Bell
50,"warm, pillowy flatbread filled with seasoned ground beef, warm nacho cheese sauce, crisp shredded lettuce, and diced ripe tomatoes.",1Dfx3zM-rW4n-31KeC8sJg,Gordita Nacho Cheese,,Taco Bell
51,"crunchy, freshly prepared tortilla chips covered with hearty beans, seasoned ground beef, warm nacho cheese sauce, red tortilla strips, cheesy molten hot lava sauce, jalapenos and topped with reduced fat sour cream.",1Dfx3zM-rW4n-31KeC8sJg,Volcano Nachos,,Taco Bell
52,"a large platter of crisp, freshly prepared tortilla chips covered with hearty beans, seasoned ground beef, warm nacho cheese sauce, diced ripe tomatoes, and reduced fat sour cream.",1Dfx3zM-rW4n-31KeC8sJg,Nachos Bellgrande,,Taco Bell
53,"a large platter of crisp, freshly prepared daily tortilla chips covered with hearty beans, seasoned beef, warm nacho cheese sauce, diced ripe tomatoes, and reduced-fat sour cream.",1Dfx3zM-rW4n-31KeC8sJg,Nachos Supreme,,Taco Bell
54,"crisp, freshly prepared tortilla chips covered in warm nacho cheese sauce.",1Dfx3zM-rW4n-31KeC8sJg,Cheesy Nachos,,Taco Bell
55,"a double portion of premium seasoned beef, topped with warm nacho cheese sauce, crunchy red strips, crisp lettuce, a delicious three cheese blend, freshly-prepared fiesta salsa, and cool reduced-fat sour cream inside a double-sized chalupa shell.",1Dfx3zM-rW4n-31KeC8sJg,XXL Chalupa - Beef,,Taco Bell
56,"a double* portion of 100% marinated all-white-meat chicken, topped with warm nacho cheese sauce, crunchy red strips, crisp lettuce, a delicious three cheese blend, freshly-prepared fiesta salsa, and cool reduced-fat sour cream inside a double-sized chalupa shell. also available with 100% usda select marinated, grilled steak or premium seasoned beef.",1Dfx3zM-rW4n-31KeC8sJg,XXL Chalupa - Chicken,,Taco Bell
57,"a double portion of 100% usda select marinated, grilled steak, topped with warm nacho cheese sauce, crunchy red strips, crisp lettuce, a delicious three cheese blend, freshly-prepared fiesta salsa, and cool reduced-fat sour cream inside a double-sized chalupa shell. also available with 100% marinated all-white-meat chicken or premium seasoned beef.",1Dfx3zM-rW4n-31KeC8sJg,XXL Chalupa - Steak,,Taco Bell
58,"a warm, soft flatbread layered with 100% marinated all-white-meat chicken, a three cheese blend and topped with bacon ranch sauce.",1Dfx3zM-rW4n-31KeC8sJg,New Bacon Ranch Chicken Flatbread Sandwich,,Taco Bell
59,"a warm, soft flatbread layered with 100% marinated all-white-meat chicken, a three cheese blend and topped with creamy chipotle sauce.",1Dfx3zM-rW4n-31KeC8sJg,Original Chicken Flatbread Sandwich,,Taco Bell
60,authentic carne asada steak combined with a three cheese blend and a creamy jalapeno sauce all folded in a freshly toasted tortilla.,1Dfx3zM-rW4n-31KeC8sJg,Steak Quesadilla,,Taco Bell
61,grilled and marinated all-white-meat chicken combined with a three cheese blend and a creamy jalapeno sauce all folded in a freshly toasted tortilla.,1Dfx3zM-rW4n-31KeC8sJg,Chicken Quesadilla,,Taco Bell
62,"a warm, soft flour tortilla wrapped around seasoned ground beef, a three cheese blend and fiesta salsa, then melted to perfection.",1Dfx3zM-rW4n-31KeC8sJg,Meximelt,,Taco Bell
63,"two crisp pizza shells filled with seasoned ground beef, hearty beans and then topped with pizza sauce, a three cheese blend melted to perfection, and topped with diced ripe tomatoes.",1Dfx3zM-rW4n-31KeC8sJg,Mexican Pizza,,Taco Bell
64,a flour tortilla rolled up with a three cheese and blend melted to perfection.,1Dfx3zM-rW4n-31KeC8sJg,Cheese Roll-Up,,Taco Bell
65,"a warm, soft flour tortilla wrapped around grilled and marinated all-white-meat chicken and real cheddar cheese, then rolled up tightly and grilled to go. it comes with your choice of three available dips reduced fat sour cream, salsa or guacamole.",1Dfx3zM-rW4n-31KeC8sJg,Grilled Chicken Taquitos,,Taco Bell
66,"a warm, soft, flour tortilla filled with seasoned beef, warm nacho cheese sauce, a crunchy tostada shell, reduced-fat sour cream, lettuce and tomatoes and then wrapped up and grilled for maximum portability.",1Dfx3zM-rW4n-31KeC8sJg,Crunchwrap Supreme,,Taco Bell
67,"a warm, flour tortilla wrapped around authentic carne asada steak and real cheddar cheese, then rolled up tightly and grilled to go. it comes with your choice of three available dips reduced fat sour cream, salsa, or guacamole.",1Dfx3zM-rW4n-31KeC8sJg,Grilled Steak Taquitos,,Taco Bell
68,"a warm, soft flour tortilla wrapped around seasoned ground beef, hearty beans, diced onions, real cheddar cheese, and tangy red sauce.",1Dfx3zM-rW4n-31KeC8sJg,Enchirito,,Taco Bell
69,"a chicken flatbread sandwich (original or new bacon ranch), burrito supreme, crunchy taco and a medium fountain drink.",1Dfx3zM-rW4n-31KeC8sJg,Chicken Flatbread Sandwich Big Box Meal,,Taco Bell
70,"a chicken flatbread sandwich (original or new bacon ranch), burrito supreme, crunchy taco and a medium fountain drink.",1Dfx3zM-rW4n-31KeC8sJg,Taco 12 Pack,,Taco Bell
71,,1Dfx3zM-rW4n-31KeC8sJg,Mexican Rice,,Taco Bell
72,"golden potatoes topped with warm nacho cheese sauce, and reduced fat sour cream.",1Dfx3zM-rW4n-31KeC8sJg,Chicken Fiesta Potatoes,,Taco Bell
73,"hearty beans, tangy red sauce, and a three cheese blend.",1Dfx3zM-rW4n-31KeC8sJg,Pintos N Cheese,,Taco Bell
74,"crispy, freshly prepared tortilla chips served with warm nacho cheese sauce on the side.",1Dfx3zM-rW4n-31KeC8sJg,Nachos,,Taco Bell
75,a crispy golden pastry pocket filled with chunks of warm apples in creamy caramel sauce.,1Dfx3zM-rW4n-31KeC8sJg,Caramel Apple Empanada,,Taco Bell
76,"crispy, puffed corn twists, sprinkled with cinnamon and sugar.",1Dfx3zM-rW4n-31KeC8sJg,Cinnamon Twists,,Taco Bell
77,,1Dfx3zM-rW4n-31KeC8sJg,Diet Pepsi,,Taco Bell
78,,1Dfx3zM-rW4n-31KeC8sJg,Pepsi,,Taco Bell
79,mountain dew baja blast is only available at taco bell because it was made specialty to go with our great tasting food.,1Dfx3zM-rW4n-31KeC8sJg,Mountain Dew Baja Blast,,Taco Bell
80,,1Dfx3zM-rW4n-31KeC8sJg,Mountain Dew,,Taco Bell
81,,1Dfx3zM-rW4n-31KeC8sJg,Sierra Mist,,Taco Bell
82,,1Dfx3zM-rW4n-31KeC8sJg,Tropicana Fruit Punch,,Taco Bell
83,"a refreshing, frozen blend of bold cherry flavor and smooth vanilla flavor, swirled together to make one sweet treat. available in two thirst-quenching sizes 16 oz and 20 oz.",1Dfx3zM-rW4n-31KeC8sJg,Cherry Creme Frutista Freeze,,Taco Bell
84,"a refreshing, frozen blend of bold cherry flavor and smooth vanilla flavor, swirled together to make one sweet treat, available in two thirst-quenching sizes 16 oz, 20 oz.",1Dfx3zM-rW4n-31KeC8sJg,Strawberry Frutista Freeze,,Taco Bell
85,"a smooth, frozen mango-flavored drink topped with real strawberries. now available in two thirst-quenching sizes 16 oz and 20 oz.",1Dfx3zM-rW4n-31KeC8sJg,Mango Strawberry Frutista Freeze,,Taco Bell
86,"a refreshing mix of cool lemon-lime soda and real lime juice poured over ice and garnished with a real lime wedge, available in two thirst quenching sizes 16 oz and 20 oz.",1Dfx3zM-rW4n-31KeC8sJg,Classic Limeade Sparkler,,Taco Bell
87,"a refreshing mix of cool lemon-lime soda, real lime juice and natural cherry flavor poured lime wedge, available in two thirst quenching sizes 16 oz and 20 oz.",1Dfx3zM-rW4n-31KeC8sJg,Cherry Limeade Sparkler,,Taco Bell
88,"Golden on the outside, soft and fluffy on the inside. Made with quality potatoes and cooked in our canola oil blend for zero grams of trans fat per serving",1Ds8V2c7LlwSAA3O-9f4cA,World Famous Fries,,McDonald's
89,,1Ds8V2c7LlwSAA3O-9f4cA,Apple Slices,,McDonald's
90,Premium mixed greens tossed with succulent grape tomatoes and shaved carrots,1Ds8V2c7LlwSAA3O-9f4cA,Side Salad,,McDonald's
91,"The wholesome combination: our creamy low-fat vanilla yogurt layered with plump blueberries and sweet strawberries, all topped with crunchy granola",1Ds8V2c7LlwSAA3O-9f4cA,Fruit 'N Yogurt Parfait,,McDonald's
92,"Wedges of crisp apples, juicy red grapes, candied walnuts and our low-fat vanilla yogurt",1Ds8V2c7LlwSAA3O-9f4cA,Fruit & Walnuts,,McDonald's
93,"100% angus beef smothered in sensationally sweet 'n smoky chipotle BBQ sauce, crisp red onions, sliced pickles and american cheese, wrapped up in a soft flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Angus Chipotle BBQ Bacon Snack Wrap,,McDonald's
94,"100% savory angus beef, sensational bacon slices, melty american cheese, tangy crinkle cut pickles and snappy red onions in a soft flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Angus Bacon & Cheese Snack Wrap,,McDonald's
95,"100% savory angus beef, fresh, ripe tomato slices, melty american cheese, crinkle cut pickles, crisp lettuce and snappy red onions wrapped in a soft flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Angus Deluxe Snack Wrap,,McDonald's
96,"100% savory angus beef, tantalizingly tasty sliced mushrooms, and melty swiss cheese in a soft flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Angus Mushroom & Swiss Snack Wrap,,McDonald's
97,"A crispy chicken selects premium breast strip bathed in scandalously sassy chipotle BBQ sauce, wrapped in a flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Chipotle BBQ Snack Wrap (Crispy),,McDonald's
98,"Plump and juicy grilled chicken, bathed in the deep heat of chipotle BBQ sauce, held in the tight embrace of a flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Chipotle BBQ Snack Wrap (Grilled),,McDonald's
99,"A crispy chicken selects premium breast strip shines bright with the sweet, zippy glow of honey mustard",1Ds8V2c7LlwSAA3O-9f4cA,Honey Mustard Snack Wrap (Crispy),,McDonald's
100,"Combination of grilled chicken, cheddar and jack cheeses and tangy honey mustard sauce",1Ds8V2c7LlwSAA3O-9f4cA,Honey Mustard Snack Wrap (Grilled),,McDonald's
101,"Intersection of crispy chicken and creamy, tangy ranch sauce",1Ds8V2c7LlwSAA3O-9f4cA,Ranch Snack Wrap (Crispy),,McDonald's
102,"Feast on this: juicy grilled chicken breast strip plus creamy, tangy ranch sauce wrapped in a tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Ranch Snack Wrap (Grilled),,McDonald's
103,"Big mac sandwich, wrapped and ready for snacking",1Ds8V2c7LlwSAA3O-9f4cA,Mac Snack Wrap,,McDonald's
104,"Juicy bites made with chicken breast meat, in three deliciously poppable sizes",1Ds8V2c7LlwSAA3O-9f4cA,Chicken McBites,,McDonald's
105,"Fresh mixed greens and sumptuous grape tomatoes, getting along brilliantly with hickory-smoked bacon",1Ds8V2c7LlwSAA3O-9f4cA,Premium Bacon Ranch Salad,,McDonald's
106,"Fresh mixed greens tossed with sumptuous grape tomatoes, shaved carrots, jack and cheddar cheeses, hickory-smoked bacon and all-white meat chicken",1Ds8V2c7LlwSAA3O-9f4cA,Premium Bacon Ranch Salad with Crispy Chicken,,McDonald's
107,"Fresh mixed greens, grilled chicken and creamy ranch dressing",1Ds8V2c7LlwSAA3O-9f4cA,Premium Bacon Ranch Salad with Grilled Chicken,,McDonald's
108,"Up to sixteen kinds of fresh mixed greens, sumptuous grape tomatoes, shaved carrots, and grated parmesan cheese",1Ds8V2c7LlwSAA3O-9f4cA,Premium Caesar Salad,,McDonald's
109,"Crispy all-white meat chicken, deliciously fresh greens, zingy parmesan cheese and creamy ranch dressing",1Ds8V2c7LlwSAA3O-9f4cA,Premium Caesar Salad with Crispy Chicken,,McDonald's
110,,1Ds8V2c7LlwSAA3O-9f4cA,Premium Caesar Salad with Grilled Chicken,,McDonald's
111,"Premium greens topped with a snappy mix of fire-roasted corn, savory black beans, poblano peppers, chili lime tortilla strips",1Ds8V2c7LlwSAA3O-9f4cA,Premium Southwest Salad,,McDonald's
112,"Crispy chicken, fresh mixed greens, oven-roasted tomatoes, fire-roasted corn, savory black beans, poblano peppers, shredded cheddar and jack cheeses, chili lime tortilla strips and a fresh-sliced lime wedge on the side",1Ds8V2c7LlwSAA3O-9f4cA,Premium Southwest Salad with Crispy Chicken,,McDonald's
113,"Fresh-grilled chicken, fresh mixed greens, oven-roasted tomatoes, fire-roasted corn, savory black beans, poblano peppers, shredded cheddar and jack cheeses, chili lime tortilla strips and a fresh-sliced lime wedge on the side",1Ds8V2c7LlwSAA3O-9f4cA,Premium Southwest Salad with Grilled Chicken,,McDonald's
114,Premium mixed greens tossed with succulent grape tomatoes and shaved carrots,1Ds8V2c7LlwSAA3O-9f4cA,Side Salad,,McDonald's
115,"With wedges of crisp apples, juicy red grapes, candied walnuts and our low-fat vanilla yogurt",1Ds8V2c7LlwSAA3O-9f4cA,Fruit & Walnuts,,McDonald's
116,"100% angus beef smothered in sensationally sweet 'n smoky chipotle BBQ sauce, kicked up with crisp red onions, sliced pickles and two slices of american cheese, all on a toasted sesame seed bun",1Ds8V2c7LlwSAA3O-9f4cA,Angus Chipotle BBQ Bacon,,McDonald's
117,"100% angus beef patty on a premium bakery style bun. Then add savory bacon, two slices of golden cheese and top it off with crisp red onion and crinkle-cut pickles",1Ds8V2c7LlwSAA3O-9f4cA,Angus Bacon & Cheese,,McDonald's
118,"100% angus beef patty on a premium bakery style bun. Two slices of golden cheese topped off with farm fresh tomato, whole-leaf lettuce, crisp red onion and crinkle-cut pickles",1Ds8V2c7LlwSAA3O-9f4cA,Angus Deluxe,,McDonald's
119,100% angus beef patty is good. So we add two slices of swiss cheese and savory sauteed mushrooms,1Ds8V2c7LlwSAA3O-9f4cA,Angus Mushroom & Swiss,,McDonald's
120,"Double layer of sear-sizzled 100% pure beef mingled with the sauce and melty cheese, the snap of the onion and the tart crunch of pickle",1Ds8V2c7LlwSAA3O-9f4cA,Big Mac,,McDonald's
121,"It's 100% pure beefy cheesiness. Two slices of melting cheese, a quarter pound of 100% pure beef and a toasted sesame seed bun",1Ds8V2c7LlwSAA3O-9f4cA,Quarter Pounder with Cheese,,McDonald's
122,With two 1/4 pound 100% beef patties and two slices of american cheese,1Ds8V2c7LlwSAA3O-9f4cA,Double Quarter Pounder with Cheese,,McDonald's
123,"Juicy 100% beef patty, tangy pickles, onions, ketchup and mustard all on a toasted bun",1Ds8V2c7LlwSAA3O-9f4cA,Hamburger,,McDonald's
124,"A slice of melty american cheese on a juicy 100% beef patty, zippy pickles and onions, ketchup and mustard on a toasted bun",1Ds8V2c7LlwSAA3O-9f4cA,Cheeseburger,,McDonald's
125,"Two slices of golden american cheese with two 100% all-beef patties, pickles, onions, ketchup and mustard on a toasted bun",1Ds8V2c7LlwSAA3O-9f4cA,Double Cheeseburger,,McDonald's
126,"Take two. A slice of melty american cheese between two 100% beef patties, topped with pickles, onions, ketchup and mustard on a toasted bun",1Ds8V2c7LlwSAA3O-9f4cA,McDouble,,McDonald's
127,"It's made with light, flaky filet of white fish from the deep, cold waters of the pacific ocean and the bering, baltic and north seas. Topped with tangy tartar sauce in a lightly steamed bun",1Ds8V2c7LlwSAA3O-9f4cA,Filet-O-Fish,,McDonald's
128,All-white meat crispy chicken and zingy pickles on a buttery steamed bun,1Ds8V2c7LlwSAA3O-9f4cA,Southern Style Crispy Chicken Sandwich,,McDonald's
129,"With a 1/4 pound 100% beef patty, juicy tomato, premium leaf lettuce, pickles, slivered onions, ketchup and mayonnaise dressing on a toasted sesame seed bun",1Ds8V2c7LlwSAA3O-9f4cA,Big N' Tasty,,McDonald's
130,"With a 1/4 pound 100% beef patty, slice of american cheese, juicy tomato, premium leaf lettuce, pickles, slivered onions, ketchup and mayonnaise dressing on a toasted sesame seed bun",1Ds8V2c7LlwSAA3O-9f4cA,Big N' Tasty with Cheese,,McDonald's
131,"White meat crispy chicken breast filet so tender and juicy. Served on a bakery-style bun with leafy green lettuce, a slice of tomato and mayonnaise dressing",1Ds8V2c7LlwSAA3O-9f4cA,Premium Crispy Chicken Classic Sandwich,,McDonald's
132,"White meat grilled chicken breast filet so tender and juicy. Served on a bakery-style bun with leafy green lettuce, a slice of tomato and mayonnaise dressing",1Ds8V2c7LlwSAA3O-9f4cA,Premium Grilled Chicken Classic Sandwich,,McDonald's
133,White meat crispy chicken breast filet and hickory smoked bacon make for the most delicious of encounters. The bakery-style bun and swiss cheese,1Ds8V2c7LlwSAA3O-9f4cA,Premium Crispy Chicken Club Sandwich,,McDonald's
134,White meat grilled chicken breast filet and hickory smoked bacon make for the most delicious of encounters. The bakery-style bun and swiss cheese,1Ds8V2c7LlwSAA3O-9f4cA,Premium Grilled Chicken Club Sandwich,,McDonald's
135,"Juicy white meat crispy chicken breast filet, hickory smoked bacon, creamy ranch sauce and the bakery-style bun",1Ds8V2c7LlwSAA3O-9f4cA,Premium Crispy Chicken Ranch BLT Sandwich,,McDonald's
136,"Juicy white meat grilled chicken breast filet, hickory smoked bacon, creamy ranch sauce and the bakery-style bun",1Ds8V2c7LlwSAA3O-9f4cA,Premium Grilled Chicken Ranch BLT Sandwich,,McDonald's
137,"The golden, crispy chicken housed on a perfectly toasted bun",1Ds8V2c7LlwSAA3O-9f4cA,McChicken,,McDonald's
138,"100% angus beef smothered in sensationally sweet 'n smoky chipotle BBQ sauce, crisp red onions, sliced pickles and american cheese, wrapped up in a soft flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Angus Chipotle BBQ Bacon Snack Wrap,,McDonald's
139,"100% savory angus beef, sensational bacon slices, melty american cheese, tangy crinkle cut pickles and snappy red onions in a soft flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Angus Bacon & Cheese Snack Wrap,,McDonald's
140,"100% savory angus beef, fresh, ripe tomato slices, melty american cheese, crinkle cut pickles, crisp lettuce and snappy red onions wrapped in a soft flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Angus Deluxe Snack Wrap,,McDonald's
141,"100% savory angus beef, tantalizingly tasty sliced mushrooms, and melty swiss cheese in a soft flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Angus Mushroom & Swiss Snack Wrap,,McDonald's
142,"A crispy chicken selects premium breast strip bathed in scandalously sassy chipotle BBQ sauce, wrapped in a flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Chipotle BBQ Snack Wrap (Crispy),,McDonald's
143,"Plump and juicy grilled chicken, bathed in the deep heat of chipotle BBQ sauce, held in the tight embrace of a flour tortilla",1Ds8V2c7LlwSAA3O-9f4cA,Chipotle BBQ Snack Wrap (Grilled),,McDonald's
144,"A crispy chicken selects premium breast strip shines bright with the sweet, zippy glow of honey mustard",1Ds8V2c7LlwSAA3O-9f4cA,Honey Mustard Snack Wrap (Crispy),,McDonald's
