id,name,address,city,state,postal_code
-exE739XC1NqZTJKjs83bg,"The Original Phoenix Greek Festival","1973 E Maryland Ave",Phoenix,AZ,85016
-Exy3mLCqzh-MMIqeuJ4Tg,"Jamba Juice","2370 West Happy Valley Rd, Ste 1065",Phoenix,AZ,85085
-e_UQJVTzIPweX4TcPUYVw,Mexx32,"3154 E Camelback Rd",Phoenix,AZ,85016
-fOJoTmq7O_3RmHDoVbXDQ,"Arcadia Premium","5618 E Thomas Rd, Ste 100",Phoenix,AZ,85018
-FveSBaantlFExq__ESLcw,"Grill Wrap Cafe","4804 E Chandler Blvd, Ste 108",Phoenix,AZ,85048
-FWhwGTP9YsV_5ONgdQ4hg,Ed's,,Phoenix,AZ,85004
-H1-IzxW6CXmjhmF5F6iMA,"Green Tea Chinese Restaurant","3961 E Chandler Blvd, Ste 100",Phoenix,AZ,85048
-HfeXGN4O83x8P4rZc-_kQ,Subway,"5127 W Indian School Rd",Phoenix,AZ,85031
-hn7E7b3VwRjwhNEDgmGIQ,"Two Hippies Breakfast Joint","4306 N 7th Ave",Phoenix,AZ,85013
-HO8ejDGgvj_Guw3R6lH1g,"Peter Piper Pizza","4024 N 67th Ave",Phoenix,AZ,85033
-hq09PjRpGcx4XXhrqh5xw,"Touch Of Thai","16816 N 35th Ave",Phoenix,AZ,85053
-Ht7HiGBox8lS1Y8IPjO8g,"Switch Restaurant & Wine Bar","2603 N Central Ave",Phoenix,AZ,85004
-IgpK9WT_m5vzjK8jScEOg,"Donut Central","5835 S Central Ave",Phoenix,AZ,85040
-ITj6Pu8Gdw8MmLf0XBEKQ,"Sushi Station","20910 N Tatum Blvd, Ste 150",Phoenix,AZ,85050
-Iu6EwsbZQZY8HTBN853Iw,Subway,"6805 N 19th Ave",Phoenix,AZ,85015
-i_WVm2yfuY0lS0zpEl9ZA,"Thai Elephant","20 W Adams St",Phoenix,AZ,85003
-J-d5x84RuyLNiUzOhO_6A,"Dairy Queen","4140 E Thomas Rd",Phoenix,AZ,85018
-jghjupgk9DVw5M-dCr3mw,"Ramiros Mexican Food","3329 E Bell Rd",Phoenix,AZ,85032
-jKBFjNTbiafSdunQy6dlQ,"Mandarin Super Buffet","1501 W Bethany Home Rd",Phoenix,AZ,85015
-jKhfsXol4FxbRjK8aUsLA,"Little Caesars Pizza","1615 W Camelback Rd, Ste 108",Phoenix,AZ,85015
-JwSuDqyFILFJmVpjrVbwA,"Half Moon Sports Grill","288 E Greenway Pkwy, Ste 103",Phoenix,AZ,85022
-K3kqmykKlhlB4arCsLHOw,"Bawarchi Indian Cuisine","3607 E Bell Rd, Ste 6",Phoenix,AZ,85032
-kHQWsdlHfASvHCj59dzGA,"Del Taco","1802 W Union Hills Dr",Phoenix,AZ,85027
-KIdCJnkt5N8rnnmWR5MQg,Corleone's,"1640 E Camelback Rd, Ste 140",Phoenix,AZ,85016
-kIscN8I29eXMPkvyyxmRQ,"Zookz Sandwiches","100 E Camelback Rd",Phoenix,AZ,85012
-l81X9FkKSpo6sMtDioMQA,"Vino 100","30835 N Cave Creek Rd",Phoenix,AZ,85331
-L9JOKcJw81Rxy5n03yqZw,Walgreens,"4249 W Glendale Ave",Phoenix,AZ,85051
-lrxtiCaTdCJ9h7uMndsUQ,"Stacy's Pit Stop BBQ","8510 N 7th St",Phoenix,AZ,85020
-LVpf-mKjrWT51JgCY3gRQ,"McAlister's Deli","12847 N Tatum Blvd",Phoenix,AZ,85032
-Ma5JqzuI_3xIAtpNJfQ2g,"Krachai Thai Kitchen","3361 W Greenway Rd",Phoenix,AZ,85053
-mjUxlW8Lyyq0t3GWvD3EA,McDonald's,"223 N 7th Ave",Phoenix,AZ,85007
-N3qRemt9OsTwWcIeiJUmw,"Circle K Stores","302 N 52nd St",Phoenix,AZ,85008
-o0xWAEO-C2oqlyt9TO8qg,"McCormick & Schmicks Seafood Restaurant","2575 E Camelback Rd, Ste 175",Phoenix,AZ,85016
-oOKqZbYDt08zaWWyLZNIw,Yan's,"9140 W Thomas Rd, Ste B103",Phoenix,AZ,85037
-ot4Xd6GxSUOqwUj7okZuA,"Lucky's Burgers & Shakes","13849 N 19th Ave",Phoenix,AZ,85023
-OuTv9a9_MabQjyiZx2Stw,"Filiberto's Mexican Food","4701-5049 W Roosevelt St",Phoenix,AZ,85043
-ouvCdkuZJgHixwyAhB8Nw,"Pete's Fish & Chips","3920 S Central Ave",Phoenix,AZ,85040
-PJgh1XoQBMnnSgg6MhmMA,"Hong Kong Chinese Cuisine","1920 W Thunderbird Rd",Phoenix,AZ,85023
-qbYIpY84C9xBWc9g5rl5g,Denny's,"2801 No Black Cyn",Phoenix,AZ,85009
-QIQLK8RR6rl7v19cAQQHg,"Capriotti's Sandwich Shop","4929 E. Chandler Blvd",Phoenix,AZ,85048
-raUM9T-1dKPiB5_vRmFYA,"Luke's of Chicago's","1602 E Indian School Rd",Phoenix,AZ,85016
-rCIoxp7pqN3xY7E3-v56Q,"Arriba Mexican Grill","4649 E Chandler Blvd",Phoenix,AZ,85048
-rhH9sL3XGFpoJXcxUpEWA,Zinburger,"2502 E Camelback Rd, Ste 127",Phoenix,AZ,85016
-RxkfrFaOLpE6Be3zGfsVg,Starbucks,"Phoenix City Hall, 200 W Washington St",Phoenix,AZ,85003
-RYIKWBSTaJ21B2UMyzI-Q,"Mellow Mushroom","14205 S 50th St",Phoenix,AZ,85044
-SG4FFB4DgZO_t_WImkvJQ,"Whoopie Baking Company","2502 E Camelback Rd",Phoenix,AZ,85016
-TVXOYL6kvKP1uW6ND9PIg,Whataburger,"1840 S 19th Ave",Phoenix,AZ,85009
-TWZ4-AM76pUxPIt47mInw,"Ketzal Mexican Grill","20910 N Tatum Blvd",Phoenix,AZ,85050
-u0rjFgBL33tgSl-zTn85g,"Chi Chi's Tacos",,Phoenix,AZ,85013
-uLahVqWDgEyNHi8Voui5Q,"Hot Rod Grill","4433 N 16th St",Phoenix,AZ,85016
-uYAkAplo7a4WM7c6lDrWQ,"Rosati's Pizza","602 W Union Hills Dr, Ste 1",Phoenix,AZ,85027
-vhMpPLW6Epcwd47gldrjA,"QT 421","19990 N 19th Ave",Phoenix,AZ,85027
-voRkfS42YKYsrJ9DV0FxQ,"Panda Express","2434 E Baseline Rd, Ste 101",Phoenix,AZ,85042
-Vs9ztcMA9IVCaV8bN_EOA,"Balkan Bakery","1618 E Bell Rd, Ste 106",Phoenix,AZ,85022
-VSljIWGLlAJoKDqxazDIg,"Antigua Bakery","3605 W Camelback Rd",Phoenix,AZ,85019
-wcyWzSRk0KtYNzrMrLXHQ,"Arizona Frybread","16816 N Cave Creek Rd",Phoenix,AZ,85032
-weah7G6XZrdmE_0scCyig,"Chuy's Mesquite Broiler","3222 E Indian School Rd",Phoenix,AZ,85018
-WjQWbAIGyJE4vYJYUZjSQ,"Little Jamaica","5815 S 16th St",Phoenix,AZ,85042
-X9QS8l7u5R3CswmfZtn-Q,"Valley Vietnamese food","4568 E Cactus Rd",Phoenix,AZ,85032
-Y9woV5m-KaTzu9VpirYyg,"Sapna Café","1301 NW Grand Ave",Phoenix,AZ,85007
-YGePLsJ2pYccR3oaeCSAw,Lafitte's,"2577 W Greenway Rd",Phoenix,AZ,85023
-yQHIYKXH3HAdhh1W52OMQ,"Short Leash Hotdogs & Rollover Doughnuts","110 E Roosevelt St",Phoenix,AZ,85004
-YR7K3rw6VAQ1-MjslvsoQ,"Eastwind Sushi & Grill","13637 N Tatum Blvd",Phoenix,AZ,85032
-YVwkl4DBH1gnxxsJtxELg,Subway,"5020 N 35th Ave",Phoenix,AZ,85017
-ZBfr1BHvArFp1d6XH8jOQ,"Rocket Burger & Subs","12038 N 35th Ave",Phoenix,AZ,85029
-zhywnaBiGRNcr6kbDagBQ,"Taqueria Don Pancho","6710 W Indian School Rd",Phoenix,AZ,85033
-zRDLAmg2h9uKpNY0OYdVQ,"Burrito Bandito","18631 N 19th Ave, Ste 100",Phoenix,AZ,85027
-_hk47bgWLbX0SfvBUkoPQ,"Souper Salad","10005 N Metro Pkwy",Phoenix,AZ,85051
0-CXwwVL-u0tc0FOuSExWQ,"Press Coffee Food & Wine","Terminal 4 Gate B9",Phoenix,AZ,85034
01cFftHZc98jNJfJrLEJ5g,"Hookmeup Gourmet Sandwiches","15425 S 48th St, Ste 116",Phoenix,AZ,85044
01Gav7vnilRwSVm3WwkAtA,"The Brickhouse","1 E Jackson St",Phoenix,AZ,85004
01xXe2m_z048W5gcBFpoJA,"Five Guys","2641 N 44th St, Ste 100",Phoenix,AZ,85008
02eESJZNF3qigrJ3GNRgIQ,"Taqueria Yaqui","3516 E McDowell Rd",Phoenix,AZ,85008
02EYqwh47uVxOaOKrnx8SQ,"Indian Delhi Palace","5104 East McDowell Rd",Phoenix,AZ,85008
02GctEso08hyhQpkqOftsw,"Muffin But The Best Cafe","15414 N 19th Ave, Ste C",Phoenix,AZ,85023
02ooNKJDjsE50KfmL0Rqdw,KFC,"2436 East Indian School Road",Phoenix,AZ,85016
02zH3RnRvBWfMoBUqtzfsg,"Yo Mama's Good Cook'n","5037 S 24th St",Phoenix,AZ,85040
03eJ6dfI2P5T-ADdsNpHZg,"Sandra Dee's Catering,LLC","344 N Gilbert Rd",Phoenix,AZ,85234
042IHd5KjHiMuBtGtugO_g,"OHSO Brewery - Paradise Valley","10810 N Tatum Blvd, Ste 126",Phoenix,AZ,85028
04Iq42i8lm50Lvdj1j3DCQ,Gretalian,"5341 N 7th Ave",Phoenix,AZ,85013
06-CFHS1kbVMMxCP6koctw,"Circle K","8955 N 19th Ave",Phoenix,AZ,85021
06lCNuSrCnaU6eq0EV4PYg,"Province Urban Kitchen & Bar","333 N Central Ave",Phoenix,AZ,85004
06PiQOUehVOYtDcZRWrA5A,"Little Caesars","3434 W Greenway Rd, Unit 128",Phoenix,AZ,85053
079CV1EE5WLdQqVEVYFeHQ,"The Prime Chinese Restaurant","24 W Camelback Rd, Ste H",Phoenix,AZ,85013
0859wfd1BQHG46Zpwhc0ZQ,"Oven + Vine","14 W Vernon Ave",Phoenix,AZ,85003
08_PxnpSJO4Rxt05EYaAxg,"D'licious Dishes","5345 N 7th Ave",Phoenix,AZ,85013
09LYxY5D4GcKc0Tvs4K_gw,"Press Coffee","1616 N Central Ave, Ste 102",Phoenix,AZ,85004
0AJF-USLN6K5T4caooDdjw,Starbucks,"4605 E Chandler Blvd, Ste A",Phoenix,AZ,85048
0APoSOeTTSLl5QXZWBlFxQ,QuikTrip,"2836 N 27th Ave",Phoenix,AZ,85009
0BaMoKDVNv-MP84BQ9EK9A,"Jack In the Box","8225 W Camelback Rd",Phoenix,AZ,85033
0Buxoc0cRqjpvkezo3bqog,"Nobuo At Teeter House","622 E Adams St",Phoenix,AZ,85004
0B_aEPeZjrXs6T7vS3arrA,"Sophie's French Bistro","2320 E Osborn Rd",Phoenix,AZ,85016
0CElIQnJdQYF2bmsAiWczg,"Luci's at the Orchard","7100 N 12th St, Bldg Two",Phoenix,AZ,85020
0cjSdDntuRKGqt5ek_QzCA,"Hi-Health Supermart - Deer Valley Center","4261 W Thunderbird Rd",Phoenix,AZ,85023
0CZ4opKkec9yAS8qmXoWdA,"Ric's Smokehouse BBQ & Grill","1930 W Pinnacle Peak Rd, Ste 119",Phoenix,AZ,85027
0dEUND3rVLjp50rczLIaeA,twenty6,"JW Marriott Desert Ridge, 5350 E. Marriott Drive",Phoenix,AZ,85054
0h5yI6np7weAVH0jsjHqPw,"Humble Pie","3964 E Sky Harbor Blvd",Phoenix,AZ,85034
0hp3WtPSxvmJVk3BNTfhHQ,McDonald's,"3323 N 24th St",Phoenix,AZ,85016
0HRNeFrQt31b-lD9kVdHog,"Golden China","10720 W Indian School Rd",Phoenix,AZ,85037
0HwrX6P6lh92F0f-A_QzjA,"Sam's Cafe","2566 E Camelback Rd, Ste 201",Phoenix,AZ,85016
0jaD7X39dXE8DxJYIaxSDg,"Tropical Smoothie Cafe","2815 W Peoria Ave, Ste 116",Phoenix,AZ,85029
0jDvRJS-z9zdMgOUXgr6rA,Sunfare,"811 W Deer Valley Rd",Phoenix,AZ,85027
0kD9yJIB2cmvOh8-WbcO_w,"Poki Bar Central","2836 E Indian School Rd, Ste A-1",Phoenix,AZ,85016
0KpoeCt1E-SQsUBwtjLAEw,"Athens Pita & Greek Grill","3 S 2nd St, Ste 107",Phoenix,AZ,85004
0LhYg3iOF9IU2Ut8IL84TQ,"MATCH Restaurant & Cocktails","1100 N Central Ave",Phoenix,AZ,85003
0LmDg_Y6Ht3zFqtvmLhp6g,"Cornish Pasty Company","7 W Monroe St",Phoenix,AZ,85003
0lSeS_GwMP6x57_Eu2pkfw,"One Stop Nutrition","4115 N 44th St",Phoenix,AZ,85018
0Mp_0j2dfMXE6l-3Raqorg,"Taco Bell","3517 W Glendale Ave",Phoenix,AZ,85051
0MVUQtakauK3qKqfIcQWiQ,Wingettes,"15840 N 32nd  St",Phoenix,AZ,85032
0N2y8rNxbet6p4UIBWTOrw,"King Gyros","4243 W Thunderbird Rd",Phoenix,AZ,85053
0N98aH5-d3JWorzd3ivXiA,"Sassy Cakes By Nina","5810 N 16th St",Phoenix,AZ,85016
0npO65UyjyjM0ZjKawvTbw,"Sprouts Farmers Market","245 E Bell Rd, Ste 15",Phoenix,AZ,85022
0obhg2Jv22z6Mkvl3zGaiQ,"Nino's Greek Cafe","3102 N 16th St",Phoenix,AZ,85016
0oOTrzxhO3FxHqmeZuC3mw,"Pastries N Chaat","3539 West Bell Rd",Phoenix,AZ,85053
0oZJ19F7KebXTu8auQvZrA,"Domino's Pizza","1850 W Indian School Rd",Phoenix,AZ,85015
0PFaDqDinxlLhGk4D522AA,"De La Ana European Delicatessen Store","7828 N 19th Ave, Ste 5",Phoenix,AZ,85021
0PjS72Gpftbndc_56QYtUg,"Pasteles Mary","8847 N 7th Ave, Ste 5",Phoenix,AZ,85021
0PMKMyfX1j7Nc4esk1RaMg,"Humble Pie","21050 N Tatum Blvd",Phoenix,AZ,85050
0q8A_jB8ft7vExBQpxL2lg,"The Willow House","1722 W Van Buren St",Phoenix,AZ,85007
0QBFtNNj9RIggZGeivcbEg,"Plaza Bonita","2815 W Carefree Hwy",Phoenix,AZ,85085
0rjU_WK5HxoH1fIuEpTpcg,"Zesty Zzeeks Pizza and Wings","4825 E Warner Rd",Phoenix,AZ,85044
0Ryxx6uSpt4TOKYVGBekLQ,"Black Angus Steakhouse","10021 Metro Pkwy E",Phoenix,AZ,85051
0S3x-ERLaR-ce1sJtS_OUA,"Koreana BBQ","4550 E Cactus Rd",Phoenix,AZ,85032
0SCSJHcu7UDYnmcK8BgB_Q,Frys,"2626 S 83rd Ave",Phoenix,AZ,85043
0sojfj-hw2WeXjkFwG-bVA,"Loose Leaf Tea Market","4773 N 20th St",Phoenix,AZ,85016
0U0odWV4aGw2k-bIUKhO2w,"Ewn's 2","2010 E Broadway Rd",Phoenix,AZ,85040
0URIvKxCNT-AVgtdYFAX8w,"Harley's Italian Bistro","4221 N 7th Ave",Phoenix,AZ,85013
0V18KwdtfsdrIu9xyO4GLg,"Thai Delight","4645 E Chandler Blvd, Ste 106",Phoenix,AZ,85048
0vJmCY2P5rc37jSMz7Nz3Q,"The Steamed Tamale","1750 W Van Buren St",Phoenix,AZ,85007
0wKOp9CBQbiByRn8Qp7NIg,"Veterinary Neurological Center","4202 E Raymond St",Phoenix,AZ,85040
0Wysm_99sHXrftxGZrJc3Q,Sinaloa,"2601 E Bell Rd",Phoenix,AZ,85032
0X4D58d_nShvVeN5FeYiHA,"Oscar's Pizza","21043 N Cave Creek Rd",Phoenix,AZ,85024
0XMOCF8omuTYfhkNRz1xMw,Arby's,"119 E Baseline Rd",Phoenix,AZ,85042
0yHY4FHCTOIshPiPc9EYBQ,Smashburger,"3400 E Sky Harbor Blvd",Phoenix,AZ,85034
0z0dDToJ-dmoTRoP8_Zw9w,"Arizona Microgreens","3146 E Wier Ave",Phoenix,AZ,85040
0zr7FB0nnZXJmwb94yTbJQ,"Cafe 1010","1010 W Washington St",Phoenix,AZ,85007
0_Yc6blfiI9A6Q8bKjYLSQ,"Taco Bell","2660 W Thunderbird Rd",Phoenix,AZ,85023
1-L3RfFTq4tA0kl73K1l0g,"MAD Greens - Central Ave & Camelback","5120 North Central Ave, Ste 2",Phoenix,AZ,85012
10d6PDujQkQmrvQMK6V0xA,7-Eleven,"3201 E Shea Blvd",Phoenix,AZ,85028
10Ft6GZPvoZyRWi1bVo3Rw,Subway,"1855 W Greenway Rd, Ste 125",Phoenix,AZ,85023
12JsTr2m9Y66nGvTB6Knqw,"Circle K","309 E Osborn Rd",Phoenix,AZ,85012
14O6gNqpd3bcnIAHPFT58g,"Salute Ristorante Italiano","13226 N 7th St",Phoenix,AZ,85022
16fgi4_LNRlPGcpL1ObNww,"Q Up Barbeque",,Phoenix,AZ,85005
17K0u4eyrm5rZBo5FybQtA,"Azool Grill","3134 W Carefree Hwy",Phoenix,AZ,85086
18FDlJmk4d4UnMir8KbYjg,Walgreens,"3434 W Southern Ave",Phoenix,AZ,85041
19f_Hyq38r6ycACRw-JG6w,"Lydia's La Canasta Mexican Food","2501 W Van Buren St",Phoenix,AZ,85009
19LQmaLOi22V5RrI3eB5lA,"Pho Binh Minh","4141 N 35th Ave, Ste 11",Phoenix,AZ,85017
19RFEJnuHCo03LsHzKiJcg,"Bakery By Chef Tom","5835 W Plamaire Ave, Ste E",Phoenix,AZ,85301
1AYcrBPjJdwcYUivLj8lDg,"Two Hippies Pizza and Burger Joint","4034 N 24th St",Phoenix,AZ,85016
1b8d2CqGcfF3Hz0vixQSUQ,"Taqueria Tepehuaje","4602 S Central",Phoenix,AZ,85041
1buqH6E5R2jPOrTQDF6sFQ,"Jack-In-the Box","3455 W McDowell Rd",Phoenix,AZ,85009
1bxJcRAF-2wDY-QbiTCqPQ,"Mariscos Vuelve a La Vida","1602 E Roosevelt St",Phoenix,AZ,85006
1C2SZ3IljVQj1tJim1wCVg,"Hamburger Yumi Yum","12TH St And Indian School",Phoenix,AZ,85006
1C7mPT-9mFihyZq8-qLxgw,"Ichi Ban Japanese Restaurant & Sushi","2815 N Central Ave",Phoenix,AZ,85004
1cl8ti5S8cJLHGetUe_s6w,"Bubba Phatz","610 E Roosevelt St",Phoenix,AZ,85004
1CONjsPUXzIqAvhD57U4dg,"Food City","845 W Southern Ave",Phoenix,AZ,85041
1CqDdPrrb0xvQpgu7fhI5w,"P.F. Chang's","2420 W Happy Valley Rd",Phoenix,AZ,85085
1DdkhCSmKDgFmilXS9SZEA,"El Pacifico Restaurante Y Pescaderia","3311 N 16th St",Phoenix,AZ,85016
1Dfx3zM-rW4n-31KeC8sJg,"Taco Bell","2450 E Indian School Rd",Phoenix,AZ,85016
1Ds8V2c7LlwSAA3O-9f4cA,McDonald's,"1850 S 7th St",Phoenix,AZ,85004
1DswS8btQKkWFyTUZlcgCQ,"Taco Bell","34906 N Valley Parkway",Phoenix,AZ,85086
1dX0u7zsjizDvatHEutHdQ,"Lenny's Burger","2545 W Glendale Ave",Phoenix,AZ,85051
1E1Qp9HWSZmqruir3sTeKw,"The Greek Pita","2737 W Thunderbird Rd, Ste 108",Phoenix,AZ,85053
1e6Xtmd4BetTnsoRCK3J5g,"Peets Coffee And Tea","Sky Harbor International Airport",Phoenix,AZ,85034
1ePxLE7eU4kRoags_ytAAg,"Qdoba Mexican Grill","12005 N Tatum Blvd, Ste 109",Phoenix,AZ,85028
1F4T9e6bRFwL11wnNxW4Ng,"Panda Express","3923 E Thomas Rd",Phoenix,AZ,85018
1fX9x47Xm6vIr8sHxQHdsw,"Zen Zen Yogurt","4340 E Indian School Rd, Ste 19",Phoenix,AZ,85018
1f_-jV4oJsiNSgpy8SaF8g,"The Nile Cafe","610 E Roosevelt St",Phoenix,AZ,85004
1GoI8TV5ngDEqoTmDK6Iow,"Ajo Al's Mexican Cafe","5101 N 16th St",Phoenix,AZ,85016
1GWJWh9WGytmkXKdkXx6Hw,Subway,"2835 N 16th St, Ste 5",Phoenix,AZ,85006
1hK-B5OL7KGemWYiHOCN4g,Starbucks,"8021 N 35th Ave",Phoenix,AZ,85051
1hrX1vHaUgllWH6i876oAw,"Mariachi Estrellas Del Pacífico",,Phoenix,AZ,85001
1jaJZ539aulplpOA9xAClg,"Berto's Gelato & Sorbet","2425 W Utopia Rd",Phoenix,AZ,85027
1jasd5ZhHsS8CLGv34YEow,"7th Heaven Eatery","2501 E Camelback Rd",Phoenix,AZ,85016
1JF9TbJ2d5hH8xsQvvklHg,"Irma's Kitchen","906 N 15th Ave",Phoenix,AZ,85007
1JmSxEQZQn1AitoNHxvHBQ,"Dairy Queen","4751 E Warner Rd",Phoenix,AZ,85044
1JpfQCgLnmz6VU00O1XIPw,"Hava Java","3166 E Camelback Rd",Phoenix,AZ,85016
1k53JbU9dNU0NvyBYKLhNw,"Souper Salad","4605 E Cactus Rd",Phoenix,AZ,85032
1kDS1homhHy0gr5N95oGzw,"The Purple Turtle","4105 N 51st Ave, Ste 157",Phoenix,AZ,85031
1ku0t5u7dCAE0g-pZDQdAw,"In-N-Out Burger","4840 N 20th St",Phoenix,AZ,85016
1l5gk5IN82olKq48NsOqGg,"Noble Bread","4525 N 24th St",Phoenix,AZ,85016
1lAV0CZdveG9tYlZZfWjCA,"Krispy Kreme Doughnuts","3201 W Indian School",Phoenix,AZ,85017
1LdvubOnn7Uf_xDpc5JcMA,"Indian Paradise","1546 W Bell Rd",Phoenix,AZ,85023
1LM9PRDlmBpIgBKdAAWIZA,"Coney Island Grill","16 W Adams St",Phoenix,AZ,85003
1mkDrJRu3VABKy95gxD-Hg,"Charlie D's Catfish & Chicken","1153 E Jefferson St",Phoenix,AZ,85034
1muT5zEqoC4qp9ms08qJtQ,"Gino's East","3626 E Indian School Rd",Phoenix,AZ,85018
1N6_FgS6nq5eT_3x4MXm4A,"Water N Ice","4212 W Cactus Rd, Ste 1114",Phoenix,AZ,85029
1NWilE6_WLy5jgsr6cZG1Q,"Circle K","966 E Van Buren St",Phoenix,AZ,85034
1ofuWPYnHDp01c11BQog9w,"Pizza Hut","3602 W Camelback Rd",Phoenix,AZ,85019
1PnhX9SNMX71LPFD7-IqXg,"Country Boys Restaurant #110","3508 W Cactus Rd",Phoenix,AZ,85029
1Q_VjzXaq8Ad4rvSVOWpcg,"Mimi's Cafe","4901 E Ray Rd",Phoenix,AZ,85044
1r9lpt5r9l4uJxLLyt6QBw,McDonald's,"2845 W Thunderbird Rd",Phoenix,AZ,85053
1r9xmPVZqsiTNQr_FAcs8w,"Mary Coyle Ol' Fashion Ice Cream","5823 N 7th St",Phoenix,AZ,85014
1rbb8ntTOpSolQv60CGcsQ,"Ming's Pagoda","12019 N 19th Ave",Phoenix,AZ,85029
1rebduwtmrHQhl32djRS7A,"McGurkee's Italian Kitchen","2822 N 15th Ave",Phoenix,AZ,85007
1s28O8UuTAmJb5IDz3MY3w,"La Huasteca Mexican Foods","3517 W Camelback Rd",Phoenix,AZ,85019
1SlvPOQ39vZa9vyeOTiAUA,"Aya & Peilas","1750 W Van Buren St",Phoenix,AZ,85007
1Tj0HSSnPgHOj1alfcoXlQ,Starbucks,"4340 E Indian School Rd, Ste 3",Phoenix,AZ,85073
1VQJyXwDakcHa-RZUCUe9w,Starbucks,"20216 N 27th Ave",Phoenix,AZ,85027
1WBkAuQg81kokZIPMpn9Zg,"Charr An American Burger Bar","777 E Thunderbird Rd, Ste 107",Phoenix,AZ,85022
1wBKFqiR3vN4-6lmwBGXAQ,"DJ's Fish and Chips","6260 S 35th Ave",Phoenix,AZ,85041
1YBpnyR_VlJNjrUzNVXYDQ,"Mr Submarine","3306 N 24th St",Phoenix,AZ,85016
1Yk-GnszDT9g1E1jnD1sIw,"Mr Leno","8430 W McDowell Rd",Phoenix,AZ,85037
1ytwQT_hlhoxvgDzts4Osg,"Panera Bread","21001 N Tatum Blvd",Phoenix,AZ,85050
1Z5nhQhFNtc5bmzgeaxFAQ,"Dutch Bros Coffee","1201 E Glendale Ave",Phoenix,AZ,85020
1zH3_Agw8CTgSmKgg4JNmg,"Yasda Bento","18 W Adams St",Phoenix,AZ,85003
1ZUszwN0CVPMcLuGe0UAMg,"Frys Marketplace","1311 E Bell Rd",Phoenix,AZ,85022
1_vpfu3RxcnX5z54vmnOMg,"Hamburger Haven","507 W Thomas Rd",Phoenix,AZ,85013
1_XieTGcu829D7eN_cHiow,"Villa Deli","15610 N 35th Ave",Phoenix,AZ,85053
2-_HV0XUYK64OylB5J4i6A,"MOD Pizza","4025 E Chandler Blvd, Ste 74",Phoenix,AZ,85048
21-o20t8YPSXrryoNBIq6Q,"Craft Beer Hop Stop","717 W Union Hills Dr",Phoenix,AZ,85027
22nrsY44lxUMaByDUuLSGw,"Safeway Food & Drug","3450 W Bell Rd",Phoenix,AZ,85053
24IRm_qaeKN5gFVdPb_s8g,"Taco Bell","7449 W Indian School Rd",Phoenix,AZ,85033
24MgaUT4TWO3_kZQlBu8sw,"Chipotle Mexican Grill","21001 N Tatum Blvd, Ste 18-1100",Phoenix,AZ,85050
24Td_CQH1bonWKff1rt2vg,"Matt's Big Breakfast","3118 E Camelback Rd",Phoenix,AZ,85016
25c15dEPrBrWr4tR1r6sTg,Takamatsu,"4214 W Dunlap Ave",Phoenix,AZ,85051
